gene,Atha_WT.Col.0_sl_FLT_Rep1_G1S1,Atha_WT.Col.0_sl_FLT_Rep2_G1S2,Atha_WT.Col.0_sl_FLT_Rep3_G1S3,Atha_WT.Col.0_sl_GC_Rep1_G2S1,Atha_WT.Col.0_sl_GC_Rep2_G2S2,Atha_WT.Col.0_sl_GC_Rep3_G2S3
AT1G01010,278.5453831,477.9252282,418.0480165,734.4083689,430.5500632,635.5233441
AT1G01020,103.5301424,145.9980462,102.4966211,67.79154174,99.42599398,96.71007411
AT1G01030,125.7151729,197.1597547,164.6855822,109.5963258,150.9144551,139.7826281
AT1G01040,1017.224732,551.5481746,625.3445536,884.6796197,777.65331,850.0734245
AT1G01046,1.643335593,2.495693098,1.151647428,0,0,0
AT1G01050,1186.488298,1254.085782,1127.462832,1169.404095,1099.012326,1368.569452
AT1G01060,1593.213858,1820.608115,1631.884406,1172.793672,1332.485866,1178.400063
AT1G01070,55.87341017,74.87079293,99.04167884,201.1149072,213.9434335,260.8733932
AT1G01080,750.1826983,1026.97771,1137.827659,575.0982458,691.5432974,714.3542449
AT1G01090,2280.128136,2244.875941,2362.028875,1380.687733,2369.356946,1852.932512
AT1G01100,3965.368787,2986.096792,2963.188833,4613.214415,2374.683338,2833.036289
AT1G01110,192.2702644,200.9032944,218.8130114,193.205894,194.4133275,212.1120113
AT1G01120,4632.563037,6377.743711,5994.324864,6518.156738,8084.576135,7101.282584
AT1G01130,44.37006102,26.20477753,14.97141657,21.46732155,22.19330223,22.75531155
AT1G01140,999.9697085,692.5548346,669.1071559,1020.262703,727.0525809,914.2759107
AT1G01150,4.108338983,2.495693098,5.758237142,9.038872232,4.438660445,3.250758794
AT1G01160,574.3457898,565.2744867,560.8522976,657.5779549,585.0154467,689.9735539
AT1G01170,849.6045017,884.7232032,786.5751935,766.0444217,640.0548362,943.5327398
AT1G01180,317.9854373,559.0352539,512.4831056,799.9401925,591.2295713,697.2877612
AT1G01183,0,0,0,0,0,0
AT1G01190,2.46500339,8.734925842,12.66812171,24.85689864,24.85649849,17.87917336
AT1G01200,104.3518102,103.5712636,93.28344169,53.10337436,79.89588802,67.45324497
AT1G01210,147.9002034,87.34925842,95.58673655,124.2844932,62.14124623,86.14510803
AT1G01220,647.4742237,505.3778523,482.5402725,385.2819289,429.6623311,392.5291243
AT1G01225,45.19172882,39.93108956,40.30765999,16.94788544,37.28474774,44.69793341
AT1G01230,598.174156,535.3261695,474.4787405,462.1123429,453.6310975,493.3026469
AT1G01240,203.7736136,220.8688392,168.1405245,215.8030745,245.9017887,228.3658052
AT1G01250,15.61168814,4.991386196,0,10.16873126,5.326392534,3.250758794
AT1G01260,771.546061,602.7098831,523.9995799,821.4075141,440.3151162,562.3812713
AT1G01270,0,0,0,0,0,0
AT1G01280,1.643335593,2.495693098,0,3.389577087,3.550928356,0.812689698
AT1G01290,182.4102509,131.0238876,146.2592234,178.5177266,135.8230096,172.2902161
AT1G01300,4783.749912,5070.000528,5599.309796,3616.678752,3612.18187,3502.6926
AT1G01305,4.93000678,7.487079293,5.758237142,5.649295145,7.101856713,5.688827889
AT1G01310,13.96835254,29.94831717,29.94283314,29.37633475,49.71299699,21.12993216
AT1G01320,12288.0419,14623.51371,14530.3356,7255.954684,10241.76511,7701.860272
AT1G01335,0,0,0,0,0,0
AT1G01340,91.20512543,117.2975756,118.6196851,201.1149072,182.8728103,189.3566997
AT1G01350,286.762061,385.5845836,358.1623502,360.4250303,369.2965491,338.0789145
AT1G01355,9.038345763,4.991386196,4.606589713,6.779154174,7.101856713,4.063448492
AT1G01360,298.2654102,203.3989875,214.2064217,238.4002551,214.8311656,286.8794635
AT1G01370,70.66343051,74.87079293,44.9142497,45.19436116,49.71299699,56.88827889
AT1G01380,241.5703322,180.9377496,172.7471142,88.12900426,109.191047,130.0303517
AT1G01390,783.0494102,722.5031518,796.9400204,315.2306691,547.730699,390.0910552
AT1G01400,0,2.495693098,1.151647428,4.519436116,0,0
AT1G01410,1.643335593,0,2.303294857,4.519436116,0.887732089,2.438069095
AT1G01420,110.9251525,159.7243583,155.4724028,59.88252854,75.45722757,74.76745225
AT1G01430,1272.763417,2161.270223,1758.565623,1194.260994,1581.938583,1503.475942
AT1G01440,626.9325288,803.6131775,731.296117,900.4976461,853.9982697,894.7713579
AT1G01448,264.5770305,383.0888905,378.8920039,451.9436116,451.8556333,440.4778165
AT1G01450,124.0718373,138.5109669,180.8086462,204.5044843,164.2304365,175.5409749
AT1G01453,21.36336271,42.42678266,78.31202513,40.67492504,67.46763877,36.57103643
AT1G01460,1.643335593,2.495693098,8.061531998,6.779154174,4.438660445,1.625379397
AT1G01470,1167.589939,1407.570907,1294.451709,1133.248606,1481.624857,1305.992345
AT1G01480,103.5301424,92.34064462,56.43072399,124.2844932,51.48846117,84.51972863
AT1G01490,1156.08659,1352.665659,1448.772465,3455.108911,1714.210664,1954.518725
AT1G01500,241.5703322,215.877453,231.4811331,344.6070039,220.1575581,256.8099447
AT1G01510,1388.618576,997.0293926,1096.368352,1376.168297,948.0978711,1084.940747
AT1G01520,154.4735458,12.47846549,26.48789085,30.50619378,22.19330223,38.19641582
AT1G01530,4.108338983,0,2.303294857,0,4.438660445,3.250758794
AT1G01540,1330.280163,1254.085782,1203.471563,1697.048262,1151.38852,1260.481722
AT1G01550,2041.844475,2978.609712,2488.710093,2577.208445,3273.955944,3431.988596
AT1G01560,13.96835254,9.982772391,10.36482685,10.16873126,6.214124623,16.25379397
AT1G01570,35.33171526,27.45262408,50.67248685,42.9346431,55.92712161,34.13296733
AT1G01580,278.5453831,137.2631204,202.6899474,351.386158,179.321882,332.3900866
AT1G01590,25.4717017,18.71769823,17.27471142,27.1166167,12.42824925,16.25379397
AT1G01600,467.5289763,364.3711923,344.3425811,347.9965809,482.9262565,394.1545037
AT1G01610,2995.800787,2776.458571,2671.822034,2223.562569,2213.116098,2210.51598
AT1G01620,5785.362956,14256.64682,11705.34446,10747.21908,21844.42352,16880.37773
AT1G01630,878.3628746,1030.721249,961.6256026,459.8526248,1027.106027,781.8074898
AT1G01640,87.91845424,169.7071307,194.6284154,296.0230656,488.252649,511.1818203
AT1G01650,670.4809221,547.804635,689.8368096,570.5788097,624.0756586,585.9492725
AT1G01660,53.40840678,32.44401027,38.00436513,79.09013203,68.35537086,56.88827889
AT1G01670,70.66343051,13.72631204,9.213179427,72.31097786,14.20371343,40.63448492
AT1G01680,0.821667797,1.247846549,3.454942285,0,2.663196267,0.812689698
AT1G01690,120.7851661,78.61433258,70.25049313,86.99914523,79.89588802,82.08165954
AT1G01695,3.286671187,2.495693098,11.51647428,6.779154174,6.214124623,5.688827889
AT1G01700,17.25502373,31.19616372,27.63953828,15.81802641,23.9687664,16.25379397
AT1G01710,564.4857763,549.0524815,496.3600416,686.9542896,565.4853407,681.0339672
AT1G01715,33.68837966,14.97415859,31.09448056,37.28534796,13.31598134,23.56800125
AT1G01720,4193.792434,5189.793797,3874.141949,3911.571958,3064.451171,3333.653143
AT1G01725,96.9568,124.7846549,110.5581531,44.06450213,129.608885,111.3384887
AT1G01730,624.4675254,556.5395608,513.634753,511.8261401,514.8846117,633.085275
AT1G01740,81.34511187,53.6574016,65.64390341,68.92140077,45.27433654,48.7613819
AT1G01750,96.13513221,109.8104963,165.8372297,79.09013203,221.9330223,163.3506294
AT1G01760,75.59343729,58.6487878,57.58237142,73.44083689,60.36578206,69.07862436
AT1G01770,439.5922712,325.6879493,330.5228119,885.8094788,381.7247983,671.2816909
AT1G01780,771.546061,703.7854536,684.0785724,1089.184104,1054.625722,1106.070679
AT1G01790,780.5844068,774.9127069,670.2588033,480.1900873,577.91359,602.2030665
AT1G01800,1102.678183,743.7165431,673.7137456,864.3421572,583.2399825,849.2607348
AT1G01810,27.93670509,27.45262408,14.97141657,16.94788544,25.74423058,16.25379397
AT1G01820,683.6276068,645.1366658,642.619265,993.1460865,799.8466122,999.608329
AT1G01830,392.7572068,450.4726042,399.6216576,514.0858582,430.5500632,391.7164346
AT1G01840,18.07669153,27.45262408,27.63953828,24.85689864,31.07062312,19.50455276
AT1G01860,234.9969898,153.4851255,143.9559285,118.635198,125.1702246,121.0907651
AT1G01870,0,0,0,0,0,0
AT1G01880,44.37006102,39.93108956,44.9142497,75.70055494,38.17247983,43.88524371
AT1G01890,0,0,0,0,0,0
AT1G01900,421.5155797,396.8152026,456.0523816,379.6326338,525.5373967,418.5351947
AT1G01910,749.3610305,596.4706504,582.7335987,563.7996555,604.5455527,500.6168542
AT1G01920,346.7438102,243.330077,256.8173765,303.9320788,197.0765238,250.3084271
AT1G01930,377.1455187,324.4401027,293.6700942,463.2422019,319.5835521,403.0940904
AT1G01940,248.1436746,173.4506703,185.415236,158.1802641,150.9144551,208.8612525
AT1G01950,764.9727187,718.7596122,635.7093804,563.7996555,560.1589482,566.4447198
AT1G01960,4930.828448,4072.971136,3975.486923,4688.91497,3803.932002,4151.218979
AT1G01970,462.5989695,497.890773,487.1468622,427.086713,328.460873,375.4626407
