"genes","go"
"AT4G26850","GO:0080048"
"AT5G23980","GO:0016491"
"AT1G70070","GO:0003676"
"AT1G70070","GO:0005524"
"AT5G66400","GO:0009415"
"AT1G54360","GO:0006367"
"AT1G54360","GO:0000124"
"AT1G54360","GO:0005669"
"AT1G54360","GO:0016251"
"AT1G54360","GO:0046695"
"AT1G54360","GO:0006352"
"AT5G13550","GO:0008272"
"AT5G13550","GO:0015116"
"AT5G13550","GO:0016021"
"AT5G13550","GO:0008271"
"AT5G13550","GO:0016020"
"AT5G13550","GO:0055085"
"AT1G21400","GO:0016624"
"AT3G22450","GO:0003735"
"AT3G22450","GO:0005840"
"AT3G22450","GO:0006412"
"AT3G22450","GO:0003735"
"AT3G22450","GO:0005840"
"AT3G22450","GO:0006412"
"AT4G21280","GO:0005509"
"AT4G21280","GO:0009523"
"AT4G21280","GO:0009654"
"AT4G21280","GO:0015979"
"AT4G21280","GO:0019898"
"AT1G50200","GO:0003676"
"AT1G50200","GO:0000166"
"AT1G50200","GO:0004813"
"AT1G50200","GO:0005524"
"AT1G50200","GO:0006419"
"AT1G50200","GO:0004812"
"AT1G50200","GO:0043039"
"AT5G59890","GO:0015629"
"AT5G59890","GO:0030042"
"AT5G59890","GO:0003779"
"AT1G02880","GO:0004788"
"AT1G02880","GO:0005524"
"AT1G02880","GO:0009229"
"AT1G02880","GO:0030975"
"AT5G01850","GO:0004672"
"AT5G01850","GO:0006468"
"AT3G04630","GO:0000226"
"AT3G04630","GO:0008017"
"AT2G46620","GO:0005524"
"AT2G46620","GO:0016887"
"AT4G34500","GO:0004672"
"AT4G34500","GO:0006468"
"AT3G20380","GO:0005515"
"AT4G14340","GO:0004672"
"AT4G14340","GO:0005524"
"AT4G14340","GO:0006468"
"AT1G01320","GO:0006996"
"AT1G04420","GO:0047834"
"AT2G22970","GO:0004185"
"AT2G22970","GO:0006508"
"AT2G36080","GO:0003677"
"AT2G36080","GO:0003700"
"AT1G70290","GO:0003824"
"AT1G70290","GO:0005992"
"AT3G20960","GO:0004497"
"AT3G20960","GO:0005506"
"AT3G20960","GO:0016705"
"AT3G20960","GO:0020037"
"AT1G49530","GO:0008299"
"AT5G66005","GO:0017111"
"AT5G66005","GO:0017111"
"AT5G66005","GO:0017111"
"AT1G77760","GO:0016491"
"AT1G77760","GO:0030151"
"AT4G01310","GO:0003735"
"AT4G01310","GO:0005840"
"AT4G01310","GO:0006412"
"AT3G18610","GO:0003676"
"AT1G66150","GO:0004672"
"AT1G66150","GO:0005524"
"AT1G66150","GO:0006468"
"AT1G66150","GO:0005515"
"AT5G51020","GO:0016829"
"AT5G51020","GO:0017009"
"AT3G24982","GO:0005515"
"AT5G09660","GO:0006099"
"AT5G09660","GO:0030060"
"AT5G09660","GO:0016491"
"AT5G09660","GO:0016616"
"AT3G14415","GO:0010181"
"AT3G14415","GO:0016491"
"AT3G14415","GO:0010181"
"AT3G14415","GO:0016491"
"AT1G15180","GO:0042910"
"AT1G15180","GO:1990961"
"AT1G15180","GO:0015297"
"AT1G15180","GO:0016020"
"AT1G15180","GO:0055085"
"AT1G09850","GO:0006508"
"AT1G09850","GO:0008234"
"AT4G14710","GO:0010309"
"AT2G25000","GO:0003700"
"AT2G25000","GO:0006355"
"AT2G25000","GO:0043565"
"AT5G04900","GO:0016491"
"AT1G66860","GO:0016811"
"AT1G66860","GO:0016787"
"AT2G42250","GO:0004497"
"AT2G42250","GO:0005506"
"AT2G42250","GO:0016705"
"AT2G42250","GO:0020037"
"AT5G22860","GO:0006508"
"AT5G22860","GO:0008236"
"AT5G54570","GO:0004553"
"AT5G54570","GO:0005975"
"AT2G04100","GO:0042910"
"AT2G04100","GO:1990961"
"AT2G04100","GO:0015297"
"AT2G04100","GO:0016020"
"AT2G04100","GO:0055085"
"AT5G24160","GO:0004506"
"AT5G24160","GO:0016126"
"AT5G24160","GO:0016491"
"AT5G24160","GO:0016021"
"AT5G24160","GO:0050660"
"AT3G14310","GO:0004857"
"AT3G14310","GO:0030599"
"AT3G14310","GO:0042545"
"AT5G23010","GO:0003824"
"AT5G50950","GO:0006099"
"AT5G50950","GO:0016829"
"AT5G50950","GO:0004333"
"AT5G50950","GO:0006106"
"AT5G50950","GO:0045239"
"AT2G19540","GO:0005515"
"AT5G18830","GO:0003677"
"AT1G10850","GO:0004672"
"AT1G10850","GO:0005524"
"AT1G10850","GO:0006468"
"AT1G10850","GO:0005515"
"AT2G30950","GO:0004176"
"AT2G30950","GO:0004222"
"AT2G30950","GO:0005524"
"AT2G30950","GO:0006508"
"AT2G30950","GO:0016887"
"AT5G45960","GO:0016788"
"AT5G64200","GO:0003676"
"AT5G64200","GO:0003676"
"AT3G16690","GO:0016021"
"AT4G21390","GO:0048544"
"AT4G21390","GO:0004672"
"AT4G21390","GO:0006468"
"AT1G01220","GO:0016772"
"AT1G01220","GO:0005524"
"AT3G61130","GO:0047262"
"AT3G61130","GO:0016757"
"AT5G20740","GO:0004857"
"AT4G38470","GO:0004672"
"AT4G38470","GO:0006468"
"AT3G62910","GO:0006415"
"AT3G62910","GO:0003747"
"AT3G12810","GO:0005524"
"AT3G12810","GO:0070615"
"AT2G43550","GO:0005576"
"AT2G43550","GO:0008200"
"AT2G43550","GO:0019871"
"AT2G43550","GO:0044063"
"AT1G33110","GO:0042910"
"AT1G33110","GO:1990961"
"AT1G33110","GO:0015297"
"AT1G33110","GO:0016020"
"AT1G33110","GO:0055085"
"AT4G08870","GO:0046872"
"AT5G50130","GO:0016491"
"AT3G16400","GO:0030246"
"AT3G16400","GO:0005515"
"AT3G16400","GO:0030246"
"AT3G16400","GO:0005515"
"AT5G57190","GO:0005509"
"AT5G57190","GO:0004609"
"AT5G57190","GO:0008654"
"AT4G16630","GO:0003676"
"AT4G16630","GO:0005524"
"AT3G53900","GO:0009116"
"AT1G25230","GO:0016787"
"AT1G25230","GO:0003993"
"AT5G26030","GO:0004325"
"AT5G26030","GO:0006783"
"AT5G26030","GO:0004325"
"AT5G26030","GO:0006783"
"AT4G17615","GO:0005509"
"AT2G42300","GO:0006355"
"AT2G42300","GO:0046983"
"AT2G42300","GO:0006355"
"AT2G42300","GO:0046983"
"AT4G15700","GO:0097573"
"AT3G47420","GO:0022857"
"AT3G47420","GO:0055085"
"AT3G47420","GO:0022857"
"AT3G47420","GO:0055085"
"AT3G47420","GO:0022857"
"AT3G47420","GO:0055085"
"AT5G27450","GO:0004496"
"AT5G27450","GO:0005524"
"AT5G27450","GO:0005737"
"AT5G27450","GO:0008299"
"AT5G27450","GO:0004496"
"AT5G27450","GO:0005524"
"AT5G27450","GO:0005737"
"AT5G27450","GO:0008299"
"AT5G27450","GO:0004496"
"AT5G27450","GO:0005524"
"AT5G27450","GO:0005737"
"AT5G27450","GO:0008299"
"AT5G49900","GO:0004553"
"AT5G49900","GO:0004553"
"AT5G29000","GO:0003700"
"AT5G29000","GO:0003700"
"AT2G18230","GO:0000287"
"AT2G18230","GO:0004427"
"AT2G18230","GO:0005737"
"AT2G18230","GO:0006796"
"AT1G34180","GO:0003677"
"AT1G34180","GO:0006355"
"AT2G34080","GO:0006508"
"AT2G34080","GO:0008234"
"AT5G01840","GO:0003677"
"AT5G01840","GO:0045892"
"AT5G24160","GO:0004506"
"AT5G24160","GO:0016021"
"AT5G24160","GO:0050660"
"AT5G24160","GO:0016126"
"AT1G64110","GO:0005524"
"AT1G64110","GO:0016887"
"AT1G64110","GO:0005524"
"AT1G64110","GO:0016887"
"AT1G70920","GO:0003677"
"AT1G70920","GO:0006355"
"AT1G70920","GO:0043565"
"AT1G03230","GO:0004190"
"AT1G03230","GO:0006508"
"AT2G46530","GO:0003677"
"AT2G46530","GO:0006355"
"AT2G46530","GO:0009725"
"AT2G46530","GO:0005634"
"AT3G46930","GO:0004672"
"AT3G46930","GO:0006468"
"AT5G19090","GO:0046872"
"AT5G19090","GO:0046872"
"AT1G33610","GO:0005515"
"AT3G10310","GO:0005515"
"AT3G10310","GO:0005524"
"AT3G10310","GO:0007018"
"AT3G10310","GO:0008017"
"AT3G10310","GO:1990939"
"AT2G05120","GO:0017056"
"AT5G10540","GO:0008233"
"AT5G10540","GO:0004222"
"AT5G10540","GO:0006508"
"AT5G23830","GO:0032366"
"AT5G66650","GO:0051560"
"AT4G24270","GO:0003676"
"AT5G67180","GO:0003700"
"AT5G67180","GO:0006355"
"AT4G11060","GO:0003697"
"AT4G11060","GO:0006260"
"AT3G21790","GO:0008194"
"AT4G21560","GO:0000813"
"AT4G21560","GO:0032509"
"AT4G21560","GO:0000813"
"AT4G21560","GO:0032509"
"AT4G21560","GO:0000813"
"AT4G21560","GO:0032509"
"AT4G20020","GO:0016554"
"AT4G23290","GO:0004672"
"AT4G23290","GO:0005524"
"AT4G23290","GO:0006468"
"AT2G22930","GO:0008194"
"AT5G08650","GO:0005525"
"AT5G08650","GO:0003924"
"AT3G09520","GO:0000145"
"AT3G09520","GO:0006887"
"AT5G56290","GO:0005515"
"AT5G60450","GO:0003677"
"AT5G60450","GO:0005634"
"AT5G60450","GO:0006355"
"AT5G60450","GO:0009725"
"AT2G20990","GO:0008289"
"AT5G48030","GO:0031072"
"AT5G48030","GO:0051082"
"AT3G16650","GO:0005515"
"AT5G04140","GO:0006807"
"AT5G04140","GO:0015930"
"AT5G04140","GO:0006537"
"AT5G04140","GO:0016638"
"AT5G04140","GO:0016491"
"AT5G43380","GO:0016787"
"AT3G16690","GO:0016021"
"AT3G14415","GO:0010181"
"AT3G14415","GO:0016491"
"AT1G26190","GO:0005524"
"AT1G26190","GO:0016301"
"AT5G05590","GO:0004640"
"AT5G05590","GO:0006568"
"AT5G05590","GO:0000162"
"AT3G16380","GO:0003676"
"AT5G52310","GO:0009737"
"AT2G42380","GO:0003700"
"AT2G42380","GO:0006355"
"AT4G23290","GO:0004672"
"AT4G23290","GO:0005524"
"AT4G23290","GO:0006468"
"AT1G48600","GO:0008168"
"AT2G21370","GO:0005975"
"AT2G21370","GO:0016773"
"AT3G01500","GO:0004089"
"AT3G01500","GO:0008270"
"AT5G49530","GO:0005634"
"AT5G49530","GO:0006351"
"AT4G35130","GO:0008270"
"AT1G05630","GO:0003824"
"AT1G32640","GO:0003700"
"AT1G32640","GO:0006355"
"AT1G32640","GO:0046983"
"AT5G18820","GO:0005524"
"AT5G18820","GO:0016887"
"AT1G27120","GO:0006486"
"AT1G27120","GO:0016020"
"AT1G27120","GO:0016758"
"AT1G27120","GO:0030246"
"AT4G27860","GO:0005384"
"AT4G27860","GO:0030026"
"AT2G39930","GO:0004553"
"AT2G39930","GO:0005975"
"AT2G39930","GO:0003824"
"AT1G21240","GO:0030247"
"AT1G21240","GO:0004672"
"AT1G21240","GO:0006468"
"AT5G48460","GO:0005515"
"AT5G48460","GO:0051015"
"AT5G48460","GO:0051017"
"AT5G23140","GO:0004176"
"AT5G23140","GO:0004252"
"AT5G23140","GO:0006508"
"AT1G48370","GO:0035673"
"AT5G01530","GO:0009765"
"AT5G01530","GO:0016020"
"AT4G13860","GO:0003676"
"AT4G33350","GO:0015031"
"AT3G06880","GO:0005515"
"AT3G06370","GO:0006812"
"AT3G06370","GO:0015299"
"AT3G06370","GO:0016021"
"AT3G06370","GO:0055085"
"AT5G37300","GO:0004144"
"AT5G37300","GO:0045017"
"AT5G37300","GO:0008374"
"AT3G61600","GO:0005515"
"AT1G18320","GO:0042721"
"AT1G18320","GO:0045039"
"AT1G73870","GO:0005515"
"AT1G73870","GO:0008270"
"AT1G34420","GO:0005515"
"AT1G34420","GO:0004672"
"AT1G34420","GO:0006468"
"AT1G65930","GO:0016616"
"AT1G65930","GO:0004450"
"AT1G65930","GO:0006102"
"AT1G29290","GO:0006970"
"AT1G29290","GO:0006995"
"AT3G14120","GO:0005643"
"AT3G14120","GO:0017056"
"AT5G65020","GO:0005509"
"AT5G65020","GO:0005544"
"AT1G09500","GO:0003824"
"AT1G15790","GO:0003713"
"AT1G15790","GO:0031490"
"AT1G15790","GO:0003713"
"AT1G15790","GO:0031490"
"AT1G15790","GO:0003713"
"AT1G15790","GO:0031490"
"AT1G20160","GO:0006508"
"AT1G20160","GO:0008236"
"AT4G12750","GO:0006357"
"AT4G12750","GO:0003677"
"AT4G12750","GO:0006355"
"AT2G47160","GO:0006820"
"AT2G47160","GO:0016021"
"AT2G47160","GO:0005452"
"AT2G47160","GO:0016020"
"AT1G67300","GO:0016021"
"AT1G67300","GO:0022857"
"AT1G67300","GO:0055085"
"AT1G67300","GO:0016021"
"AT1G67300","GO:0022857"
"AT1G67300","GO:0055085"
"AT3G02190","GO:0003735"
"AT3G02190","GO:0005840"
"AT3G02190","GO:0006412"
"AT3G07650","GO:0005515"
"AT3G07650","GO:0005515"
"AT3G07650","GO:0005515"
"AT3G07650","GO:0005515"
"AT4G33790","GO:0080019"
"AT4G24830","GO:0004055"
"AT4G24830","GO:0005524"
"AT4G24830","GO:0006526"
"AT5G54810","GO:0004834"
"AT5G54810","GO:0006568"
"AT3G18290","GO:0008270"
"AT3G16250","GO:0051536"
"AT2G20725","GO:0004222"
"AT2G20725","GO:0016020"
"AT2G20725","GO:0071586"
"AT3G06770","GO:0004650"
"AT3G06770","GO:0005975"
"AT2G26540","GO:0004852"
"AT2G26540","GO:0033014"
"AT2G26540","GO:0006780"
"AT5G40210","GO:0016021"
"AT5G40210","GO:0022857"
"AT5G40210","GO:0016020"
"AT4G30410","GO:0006355"
"AT4G30410","GO:0006355"
"AT4G10650","GO:0005525"
"AT1G56170","GO:0003677"
"AT1G56170","GO:0003677"
"AT1G47270","GO:0005515"
"AT1G30690","GO:0008289"
"AT1G30690","GO:0008289"
"AT2G23320","GO:0003700"
"AT2G23320","GO:0006355"
"AT2G23320","GO:0043565"
"AT5G61900","GO:0005544"
"AT5G61900","GO:0060548"
"AT5G61900","GO:0005544"
"AT5G61900","GO:0060548"
"AT1G64610","GO:0005515"
"AT1G64610","GO:0005515"
"AT2G40020","GO:0018024"
"AT1G56450","GO:0005839"
"AT1G56450","GO:0051603"
"AT1G02920","GO:0005515"
"AT1G02920","GO:0006749"
"AT5G18290","GO:0015267"
"AT5G18290","GO:0016020"
"AT5G18290","GO:0055085"
"AT5G18290","GO:0015250"
"AT5G18290","GO:0015267"
"AT5G18290","GO:0016020"
"AT5G18290","GO:0055085"
"AT5G18290","GO:0015250"
"AT2G46270","GO:0003700"
"AT2G46270","GO:0006355"
"AT2G46270","GO:0043565"
"AT2G46270","GO:0003700"
"AT2G46270","GO:0006355"
"AT2G46270","GO:0043565"
"AT1G67720","GO:0004672"
"AT1G67720","GO:0006468"
"AT1G67720","GO:0005515"
"AT2G25850","GO:0003723"
"AT2G25850","GO:0043631"
"AT2G25850","GO:0004652"
"AT2G25850","GO:0016779"
"AT5G14580","GO:0003676"
"AT5G14580","GO:0003723"
"AT5G14580","GO:0004654"
"AT5G14580","GO:0006402"
"AT5G14580","GO:0006396"
"AT4G01440","GO:0016021"
"AT4G01440","GO:0022857"
"AT4G01440","GO:0016020"
"AT2G45870","GO:0005254"
"AT3G57010","GO:0009058"
"AT3G57010","GO:0016844"
"AT1G60680","GO:0047834"
"AT3G56400","GO:0003700"
"AT3G56400","GO:0006355"
"AT3G56400","GO:0043565"
"AT4G17490","GO:0003700"
"AT4G17490","GO:0006355"
"AT2G29090","GO:0004497"
"AT2G29090","GO:0005506"
"AT2G29090","GO:0016705"
"AT2G29090","GO:0020037"
"AT2G29090","GO:0004497"
"AT2G29090","GO:0005506"
"AT2G29090","GO:0016705"
"AT2G29090","GO:0020037"
"AT3G13100","GO:0140359"
"AT3G13100","GO:0005524"
"AT3G13100","GO:0016021"
"AT3G13100","GO:0055085"
"AT2G37260","GO:0003700"
"AT2G37260","GO:0006355"
"AT2G37260","GO:0043565"
"AT5G22400","GO:0005096"
"AT5G22400","GO:0007165"
"AT2G29690","GO:0009058"
"AT4G39940","GO:0000103"
"AT4G39940","GO:0004020"
"AT4G39940","GO:0005524"
"AT1G12230","GO:0005975"
"AT1G12230","GO:0004801"
"AT1G12230","GO:0005737"
"AT1G12230","GO:0006098"
"AT1G66760","GO:0015297"
"AT1G66760","GO:0016020"
"AT1G66760","GO:0042910"
"AT1G66760","GO:0055085"
"AT1G66760","GO:1990961"
"AT3G53370","GO:0003677"
"AT3G53370","GO:0005634"
"AT3G53370","GO:0006355"
"AT4G16990","GO:0003953"
"AT4G16990","GO:0007165"
"AT4G16990","GO:0043531"
"AT4G16990","GO:0006952"
"AT2G41560","GO:0005516"
"AT5G57710","GO:0005524"
"AT5G57710","GO:0016887"
"AT4G31910","GO:0016747"
"AT3G62420","GO:0003700"
"AT3G62420","GO:0006355"
"AT2G48060","GO:0008381"
"AT2G48060","GO:0016021"
"AT4G29210","GO:0006751"
"AT4G29210","GO:0036374"
"AT1G48600","GO:0008168"
"AT3G08720","GO:0004674"
"AT3G08720","GO:0005524"
"AT3G08720","GO:0006468"
"AT3G08720","GO:0004672"
"AT3G08720","GO:0004674"
"AT3G08720","GO:0005524"
"AT3G08720","GO:0006468"
"AT3G08720","GO:0004672"
"AT3G08720","GO:0004674"
"AT3G08720","GO:0005524"
"AT3G08720","GO:0006468"
"AT3G08720","GO:0004672"
"AT3G08720","GO:0004674"
"AT3G08720","GO:0005524"
"AT3G08720","GO:0006468"
"AT3G08720","GO:0004672"
"AT4G13860","GO:0003676"
"AT3G23870","GO:0015095"
"AT3G23870","GO:0015693"
"AT3G23870","GO:0016021"
"AT3G23870","GO:0015095"
"AT3G23870","GO:0015693"
"AT3G23870","GO:0016021"
"AT3G23870","GO:0015095"
"AT3G23870","GO:0015693"
"AT3G23870","GO:0016021"
"AT3G23870","GO:0015095"
"AT3G23870","GO:0015693"
"AT3G23870","GO:0016021"
"AT4G03210","GO:0004553"
"AT4G03210","GO:0010411"
"AT4G03210","GO:0016762"
"AT4G03210","GO:0042546"
"AT4G03210","GO:0005975"
"AT4G03210","GO:0005618"
"AT4G03210","GO:0006073"
"AT4G03210","GO:0048046"
"AT3G49725","GO:0005525"
"AT1G12900","GO:0016620"
"AT1G12900","GO:0051287"
"AT1G12900","GO:0016620"
"AT1G12900","GO:0051287"
"AT3G09300","GO:0008289"
"AT5G49520","GO:0003700"
"AT5G49520","GO:0006355"
"AT5G49520","GO:0043565"
"AT4G34200","GO:0051287"
"AT4G34200","GO:0016616"
"AT5G38200","GO:0016787"
"AT5G38200","GO:0016811"
"AT5G14280","GO:0006355"
"AT2G17130","GO:0016616"
"AT3G20670","GO:0003677"
"AT3G20670","GO:0000786"
"AT4G32890","GO:0006355"
"AT4G32890","GO:0008270"
"AT4G32890","GO:0043565"
"AT2G45790","GO:0004615"
"AT2G45790","GO:0009298"
"AT3G29670","GO:0016747"
"AT3G47000","GO:0004553"
"AT3G47000","GO:0005975"
"AT1G18210","GO:0005509"
"AT1G18210","GO:0005509"
"AT2G26540","GO:0004852"
"AT2G26540","GO:0033014"
"AT2G26540","GO:0006780"
"AT1G72520","GO:0016702"
"AT1G72520","GO:0046872"
"AT1G72520","GO:0005515"
"AT1G03920","GO:0004672"
"AT1G03920","GO:0005524"
"AT1G03920","GO:0006468"
"AT1G03920","GO:0004674"
"AT2G18740","GO:0000398"
"AT2G18740","GO:0005681"
"AT1G76650","GO:0005509"
"AT2G37390","GO:0046872"
"AT3G18040","GO:0004672"
"AT3G18040","GO:0005524"
"AT3G18040","GO:0006468"
"AT1G69790","GO:0004672"
"AT1G69790","GO:0006468"
"AT1G15140","GO:0016491"
"AT1G15140","GO:0016491"
"AT4G09010","GO:0004601"
"AT4G09010","GO:0034599"
"AT4G09010","GO:0006979"
"AT4G09010","GO:0020037"
"AT5G10720","GO:0000160"
"AT5G10720","GO:0000155"
