gene,root_control_1,root_control_2,root_control_3,root_ABA_1,root_ABA_2,root_ABA_3
AT1G01010,2029,1481,2694,1353,1174,1404
AT1G01020,1626,1608,1895,1068,1413,1342
AT1G01030,150,230,375,108,232,223
AT1G01040,3174,2599,4260,2271,2471,3410
AT1G01046,70,42,115,38,57,93
AT1G01050,9025,8165,9355,5575,7561,6597
AT1G01060,2512,2057,2796,2430,3398,3229
AT1G01070,1606,748,1225,1950,1640,2153
AT1G01073,0,0,0,0,0,0
AT1G01080,667,546,817,358,448,429
AT1G01090,11777,11072,16546,13325,11880,11901
AT1G01100,32908,34170,31402,15724,28989,16102
AT1G01110,1421,1334,1447,644,780,723
AT1G01115,0,0,0,0,0,0
AT1G01120,3053,3072,5105,15249,13046,10981
AT1G01130,358,296,405,198,319,232
AT1G01140,295,279,318,352,306,300
AT1G01150,42,17,23,13,14,15
AT1G01160,3521,3220,3754,2370,3153,2704
AT1G01170,790,663,1056,588,717,634
AT1G01180,428,384,523,224,166,229
AT1G01183,3,3,8,1,8,3
AT1G01190,614,284,816,222,151,339
AT1G01200,640,644,844,346,445,419
AT1G01210,1628,1409,1744,606,823,676
AT1G01220,2412,2296,2828,1564,1791,1904
AT1G01225,576,467,672,733,621,462
AT1G01230,2577,2449,3049,2064,2496,2009
AT1G01240,830,754,925,2069,2675,1925
AT1G01250,0,2,2,2,2,0
AT1G01260,2275,2072,3115,1291,1314,1785
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1,0,0,0,0
AT1G01290,1520,1577,1779,958,1235,1016
AT1G01300,8644,8468,10808,4495,5480,5094
AT1G01305,4,0,0,0,2,0
AT1G01310,19,16,13,27,11,8
AT1G01320,2492,2063,2730,1349,1580,1916
AT1G01340,2413,1412,2665,712,548,815
AT1G01350,2646,2627,3407,1748,2204,2154
AT1G01355,0,2,0,0,2,0
AT1G01360,1205,1156,1442,941,1247,1026
AT1G01370,919,915,987,418,557,417
AT1G01380,152,208,214,78,66,80
AT1G01390,18,9,10,16,5,0
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,202,98,248,67,58,99
AT1G01430,1531,1631,2227,1193,1700,1469
AT1G01440,1364,1214,1762,1074,1038,1038
AT1G01448,1047,957,1271,776,1035,959
AT1G01450,581,581,723,495,660,545
AT1G01453,81,112,169,69,50,87
AT1G01460,0,2,0,2,0,2
AT1G01470,8728,6658,7998,24697,32537,19090
AT1G01471,0,0,0,0,0,0
AT1G01480,348,328,373,287,343,290
AT1G01490,6590,5587,7610,4598,5361,5153
AT1G01500,629,571,768,585,612,518
AT1G01510,5284,4921,5193,3305,4603,3651
AT1G01520,32,14,15,51,144,97
AT1G01530,0,0,3,0,0,0
AT1G01540,4552,4258,5746,4070,5755,4856
AT1G01550,13703,12632,18579,13945,14705,15908
AT1G01560,74,79,108,323,323,137
AT1G01570,245,143,308,632,612,550
AT1G01580,6641,3089,3617,322,227,234
AT1G01590,2,0,2,5,5,3
AT1G01600,1020,1435,1382,2611,3034,2463
AT1G01610,2517,2335,3636,14837,11750,11052
AT1G01620,15749,14156,18631,18388,24346,18469
AT1G01630,5102,4765,6474,3330,4461,4051
AT1G01640,2466,1534,2389,1270,1413,1644
AT1G01650,3401,2892,4055,4309,4585,4874
AT1G01660,170,221,391,92,95,157
AT1G01670,155,113,227,87,142,137
AT1G01680,199,123,108,116,131,122
AT1G01690,998,911,1066,563,663,722
AT1G01695,34,48,40,26,28,33
AT1G01700,288,193,251,116,100,135
AT1G01710,2934,2398,3155,2433,2737,2658
AT1G01720,2906,2709,4123,7613,8319,8026
AT1G01725,641,506,812,445,498,505
AT1G01730,3172,2969,3523,2005,2261,2266
AT1G01740,718,660,792,271,455,409
AT1G01750,1820,2842,3994,1113,889,1471
AT1G01760,670,593,659,420,510,443
AT1G01770,1338,1128,1468,1650,1703,1990
AT1G01780,1034,1010,1635,1087,1188,1240
AT1G01790,1542,1220,1788,695,759,960
AT1G01800,6205,4871,6641,4036,4969,4940
AT1G01810,114,84,125,82,105,97
AT1G01820,4671,4031,4764,2292,2999,2665
AT1G01830,1238,1226,1728,1048,1262,1409
AT1G01840,197,170,212,113,169,166
AT1G01860,535,503,658,394,426,423
AT1G01870,1,0,0,0,0,0
AT1G01880,216,193,173,108,168,118
AT1G01890,0,0,0,0,0,0
AT1G01900,188,136,372,734,1093,1205
AT1G01910,5189,4882,5543,3401,4242,3537
AT1G01920,3116,3671,3160,1763,2958,2131
AT1G01930,1419,1192,1556,992,1137,1161
AT1G01940,2217,2029,2211,1241,1786,1238
AT1G01950,2409,2306,2917,1418,1633,1731
AT1G01960,12478,10894,15065,7957,8501,10252
AT1G01970,501,446,528,380,460,399
AT1G01980,0,2,1,6,10,4
AT1G01990,1817,1437,1891,1341,1564,1210
AT1G02000,1196,1078,1677,1170,1324,1398
AT1G02010,937,753,1002,635,753,784
AT1G02020,630,554,908,476,524,621
AT1G02030,115,96,155,115,125,124
AT1G02040,12,13,13,1,8,6
AT1G02050,1016,970,806,403,757,572
AT1G02060,1166,946,1045,522,670,671
AT1G02065,0,0,3,1,0,2
AT1G02070,19,9,17,36,30,35
AT1G02074,0,0,0,9,10,0
AT1G02080,13048,11056,16560,10066,10031,13591
AT1G02090,4269,4076,5281,2676,3490,2878
AT1G02100,3927,3725,4609,2894,3434,3445
AT1G02110,3073,2664,3083,1656,2392,1893
AT1G02120,5841,4665,6821,3465,3148,4336
AT1G02130,4329,3896,4891,3061,3853,3465
AT1G02140,8821,8529,9936,5290,7181,5613
AT1G02145,2202,2258,2795,1432,1966,1829
AT1G02150,2373,2364,2515,1337,1874,1492
AT1G02160,1528,1409,1554,948,1561,1041
AT1G02170,2904,2387,3401,3110,2959,2763
AT1G02180,387,296,432,299,319,295
AT1G02190,2,0,4,0,4,7
AT1G02205,72,60,123,6009,9480,9090
AT1G02210,0,0,0,0,0,0
AT1G02220,6724,6360,8373,5955,7675,6261
AT1G02230,320,328,410,141,166,191
AT1G02250,12,18,9,8,10,6
AT1G02260,1926,1755,2193,1341,1495,1714
AT1G02270,1461,1216,1919,970,1048,1146
AT1G02280,1808,1759,1844,1044,1517,1003
AT1G02290,1176,1045,1347,691,888,913
AT1G02300,387,394,444,252,279,308
AT1G02305,6554,5096,6566,8706,8084,8012
AT1G02310,324,209,327,1595,1938,1377
AT1G02320,3,0,3,8,7,2
AT1G02330,3510,2943,3915,2039,2366,2372
AT1G02335,540,770,2128,712,929,1756
AT1G02340,563,603,836,1088,1405,1032
AT1G02350,149,169,161,66,125,95
AT1G02360,5803,4824,7220,1336,949,1057
AT1G02370,1314,1236,1464,467,644,551
AT1G02380,350,329,427,397,374,265
AT1G02390,547,623,625,400,483,421
AT1G02391,0,0,0,0,0,0
AT1G02400,1156,1230,1484,5662,6187,3719
AT1G02405,10,8,6,5,0,10
AT1G02410,2599,2246,2941,1828,2345,2087
AT1G02420,521,582,632,320,344,362
AT1G02430,573,595,635,210,263,201
AT1G02440,107,54,97,8,13,18
AT1G02450,21,18,34,6,4,12
AT1G02460,301,157,483,74,16,91
AT1G02470,50,53,64,481,426,270
AT1G02475,579,458,750,499,642,583
AT1G02480,0,0,0,0,0,0
AT1G02490,13,22,15,3,11,7
AT1G02500,55378,51779,69626,52691,53351,51238
AT1G02510,2,0,0,3,1,1
AT1G02520,5462,4592,6536,2289,2139,2415
AT1G02530,206,186,217,125,117,106
AT1G02540,1,0,1,0,0,0
AT1G02550,0,0,2,0,0,0
AT1G02560,5535,4882,6168,3325,4315,3798
AT1G02570,73,125,207,38,52,76
AT1G02575,22,18,47,20,4,0
AT1G02580,157,139,153,118,61,67
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,200,138,238,335,273,229
AT1G02620,0,0,0,0,0,0
AT1G02630,0,2,0,2,0,2
AT1G02640,1376,1543,2184,990,755,953
AT1G02650,149,148,173,85,161,114
AT1G02660,336,336,358,3736,4156,2527
AT1G02670,191,249,299,406,591,472
AT1G02680,1224,1125,1367,758,1120,939
AT1G02690,6431,5794,6475,2545,3716,2824
AT1G02700,23,13,41,253,330,182
AT1G02710,41,41,110,46,66,85
AT1G02720,1438,1542,2036,638,1111,847
AT1G02730,7893,6255,7629,2960,3705,3108
AT1G02740,767,651,1007,442,479,559
AT1G02750,1412,1146,1611,1084,1366,1094
AT1G02760,0,1,0,0,1,0
AT1G02770,7,10,22,17,21,20
AT1G02780,103904,100213,104679,50425,81694,54891
AT1G02790,1,0,0,0,0,0
AT1G02800,9,17,16,4,10,2
AT1G02810,4098,3266,4475,1031,1187,1205
AT1G02813,25,6,32,10,4,20
AT1G02816,1800,1648,2227,3657,4657,3677
AT1G02820,44,36,60,6,18,8
AT1G02830,9,2,15,2,5,0
AT1G02840,10825,9729,11176,7654,9826,8449
AT1G02850,3069,2965,4515,6364,7952,8572
AT1G02860,2139,2004,2507,1774,1528,1379
AT1G02870,3662,3460,3643,1747,2942,2004
AT1G02880,2698,2534,3840,1659,1967,2186
AT1G02890,10205,9010,12900,6518,6469,8068
AT1G02900,4482,3326,6083,4594,4526,3862
