"gene","shoot_control_1","shoot_control_2","shoot_control_3","shoot_MeJA_1","shoot_MeJA_2","shoot_MeJA_3"
"AT1G01010",510,830,556,598,687,618
"AT1G01020",1094,1502,1082,1595,1368,1639
"AT1G01030",337,568,314,866,913,599
"AT1G01040",2489,3218,2157,4197,2954,3300
"AT1G01046",75,47,41,115,31,65
"AT1G01050",3402,5508,2468,4215,3857,3259
"AT1G01060",4166,11954,3529,2735,10106,5109
"AT1G01070",168,175,183,133,103,200
"AT1G01073",0,0,0,0,0,0
"AT1G01080",4272,6423,2968,5291,4802,3756
"AT1G01090",8539,12803,7631,11802,11895,10054
"AT1G01100",12309,18434,11143,13962,16175,17161
"AT1G01110",184,245,189,173,179,288
"AT1G01115",0,0,0,0,0,0
"AT1G01120",2895,8642,3095,5209,7830,4053
"AT1G01130",157,295,179,165,160,183
"AT1G01140",3520,7225,2169,8716,8289,4168
"AT1G01150",12,7,12,10,2,10
"AT1G01160",2119,3497,1752,3161,2843,2419
"AT1G01170",2501,2958,1601,3520,2205,1879
"AT1G01180",423,985,307,1309,918,413
"AT1G01183",2,0,0,0,1,0
"AT1G01190",29,25,49,31,8,42
"AT1G01200",124,113,79,77,129,166
"AT1G01210",817,1382,954,1049,1276,1340
"AT1G01220",1357,1991,1123,1799,1647,1522
"AT1G01225",116,180,125,94,96,131
"AT1G01230",1023,1686,921,1970,1416,1245
"AT1G01240",311,400,181,783,388,250
"AT1G01250",38,105,33,22,71,45
"AT1G01260",773,1348,1022,2179,1789,1949
"AT1G01270",0,0,0,0,0,0
"AT1G01280",0,0,0,0,0,0
"AT1G01290",711,1325,744,1110,1115,1157
"AT1G01300",3365,4764,3358,3881,3002,3879
"AT1G01305",0,0,0,0,0,0
"AT1G01310",15,14,6,4,6,10
"AT1G01320",23797,33761,15831,21098,21103,18193
"AT1G01340",745,1336,818,1578,1138,1035
"AT1G01350",1499,2822,1445,2374,2229,1855
"AT1G01355",0,1,0,2,0,0
"AT1G01360",430,799,311,545,442,395
"AT1G01370",262,222,246,206,163,305
"AT1G01380",42,101,59,49,42,54
"AT1G01390",193,251,86,85,129,88
"AT1G01400",0,0,0,1,0,0
"AT1G01410",0,0,1,0,0,0
"AT1G01420",477,907,346,494,551,352
"AT1G01430",2446,5356,1845,3790,2963,1879
"AT1G01440",962,1727,780,1335,985,916
