gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G02400,2372.14044364456,1.47465389074677,0.159941084737209,9.21998180248492,2.97150643019639e-20,4.7345319349536e-18
AT1G02850,8772.23937877141,2.06465761935451,0.123888049965976,16.6655106761429,2.33485865941576e-62,1.41953262127585e-59
AT1G02900,7656.38267864946,1.29630494287024,0.195284053233254,6.63804812224932,3.1786410059906e-11,2.09286316757471e-09
AT1G05680,1251.69392317419,1.31363460121372,0.197958898850524,6.63589567754481,3.22537908592921e-11,2.11093294680517e-09
AT1G10380,2029.23358753169,1.03972831913232,0.281262318618483,3.6966498898228,0.000218463295522744,0.00349284257194598
AT1G14350,2933.22066209577,1.26078578808012,0.202968737587646,6.21172404708725,5.2406401104913e-10,2.81897330283818e-08
AT1G18100,2051.76676492259,1.85976629123741,0.287798650536668,6.46203965087896,1.03301020720993e-10,6.28043021504497e-09
AT1G19220,5966.34637640823,1.5602531519016,0.207793886605748,7.50865762890276,5.97367279087076e-14,5.77446704968566e-12
AT1G22880,2611.22729386987,1.16801502059058,0.139112039215034,8.3962180928504,4.61088873015553e-17,5.88537913440792e-15
AT1G23080,9813.84838586461,1.72918892278514,0.151337368523529,11.4260538534228,3.09873425974473e-30,8.42235971798618e-28
AT1G24530,1984.15752348686,1.1072870874786,0.183025941686916,6.04989149228214,1.44943425460898e-09,7.29548574819854e-08
AT1G28670,1966.63069649407,1.06123402218086,0.152244041951243,6.97061118832304,3.15567000615996e-12,2.47977701198345e-10
AT1G29195,1284.16436340067,1.88233215585675,0.183325149142119,10.2677246666114,9.85003845091518e-25,1.89637865276245e-22
AT1G30760,6581.69567173256,1.70413570338568,0.270280614785523,6.30506077817668,2.88080827888524e-10,1.639293440076e-08
AT1G31650,5008.55043555245,1.30220200758008,0.130693516280824,9.96378431491588,2.19543225411051e-23,4.15746486612418e-21
AT1G32690,1027.04874025523,1.05141119155495,0.145862010887234,7.20825926613472,5.66716516249849e-13,4.92212468981965e-11
AT1G33790,7544.8620477192,1.29313419896779,0.156198294676064,8.27879844430814,1.24424327695388e-16,1.53720601216393e-14
AT1G49310,3159.25136921294,1.04344079356777,0.310574616015158,3.3597104842491,0.00078024190569703,0.0103123162170014
AT1G51170,2660.92680011662,1.89928344997583,0.168040428544075,11.3025387189944,1.27478542117551e-29,3.30914242532784e-27
AT1G51950,2715.5187401809,1.99914759373288,0.19390384462942,10.3099946138436,6.35048802713173e-25,1.23290188983886e-22
AT1G59740,2447.07923162574,2.80927965404257,0.274973778702677,10.2165365268526,1.67208717461239e-24,3.19258099132811e-22
AT1G60010,4957.19628936723,3.68867309222813,0.157848453088342,23.3684462537223,8.95001466537245e-121,2.29746876460111e-117
AT1G60740,1614.54715337615,1.02179375579524,0.171945062891925,5.94255943503,2.8060586189383e-09,1.34778320734577e-07
AT1G62770,5778.79582211054,2.76892985752203,0.192556589122824,14.3798239786842,6.92705060672361e-47,3.5563477814919e-44
AT1G64400,1379.69508434194,1.35939394285078,0.251635369721373,5.40223715114447,6.58148574062679e-08,2.44456696247107e-06
AT1G64405,2789.44105527238,2.89932636493169,0.207463381230642,13.9751234542372,2.21129834343897e-44,1.08697075805257e-41
AT1G67750,4557.72628262571,1.2950232933486,0.230359200574844,5.62175632714895,1.89025764936931e-08,7.85442850240634e-07
AT1G68400,2635.12633139623,1.13183257988484,0.138112777527325,8.19498818392028,2.5061778167498e-16,3.04738032107214e-14
AT1G69530,13060.2502066091,1.09046477832575,0.152296227664021,7.16015619724612,8.05851881672554e-13,6.89540593417815e-11
AT1G70560,2517.28572979418,1.35075062282518,0.17748029148455,7.61070771028551,2.72599087964798e-14,2.76221786370646e-12
AT1G70940,7342.69881875588,1.39763024304024,0.178899545386953,7.81237448098159,5.61205228451568e-15,6.14479829048179e-13
AT1G71015,1011.29617510725,1.50398483890271,0.164392296693815,9.14875495476485,5.75934682205482e-20,8.99041821823869e-18
AT1G71380,1212.09722442954,1.19243554337863,0.227225323457722,5.24781096241017,1.53917110571602e-07,5.37964751215691e-06
AT1G74110,1012.79748120813,3.25910599787656,0.352270055015504,9.25172591730262,2.20896528939979e-20,3.56879196370653e-18
AT1G75388,7442.45291669544,1.01828801444058,0.162764138209753,6.25621851128114,3.94424019322126e-10,2.17479191369906e-08
AT1G75390,7442.45291669544,1.01828801444058,0.162764138209753,6.25621851128114,3.94424019322126e-10,2.17479191369906e-08
AT1G75640,2501.30783067951,1.16847865349104,0.231211576354172,5.05372037125491,4.33285847785661e-07,1.40395553175205e-05
AT1G77280,4288.4854157543,1.95891696193722,0.212696707374489,9.20990731881998,3.26406637475755e-20,5.16504968876874e-18
AT1G78100,10156.0137066169,2.74662765498622,0.133912984907172,20.5105401607632,1.73358482369344e-93,2.50318813636184e-90
AT1G80240,10544.6800983676,1.6210383689817,0.124075503919565,13.0649347999632,5.22293569721065e-39,2.19391788023014e-36
AT2G01430,1713.76416667013,1.11748894390115,0.178174537830014,6.27187788732911,3.56719307564439e-10,1.99149676942246e-08
AT2G02010,1310.76317868429,1.56439396176927,0.180708721189392,8.65699204483717,4.84376491316146e-18,6.58267651698643e-16
AT2G03730,5132.67185110746,1.89642691118837,0.156170343443829,12.1433229214257,6.22458249673885e-34,2.11480190326702e-31
AT2G12462,4749.71291070826,1.6975815547233,0.1442403311209,11.7691185366208,5.63097911591192e-32,1.73456680686551e-29
AT2G14820,1692.01651743885,1.01647335532682,0.157530561664747,6.4525470142743,1.09985745838786e-10,6.65183425684152e-09
AT2G14960,4075.76797349308,4.40474565439844,0.236193359275701,18.6488971066156,1.28909080260804e-77,1.19127459250614e-74
AT2G18196,2170.63857896544,1.37991871108167,0.245843046545633,5.61300687764434,1.98840693098823e-08,8.18862127034243e-07
AT2G18980,12088.0342044951,1.00139116948641,0.273426764231114,3.66237435571588,0.000249888324361021,0.00392199046040263
AT2G19970,2525.36915046766,1.89569596981437,0.609556442717538,3.10995969686242,0.00187112873050011,0.0211594160845541
AT2G23170,66400.2616155458,7.62591765226683,0.187653429379831,40.638306890897,0,0
AT2G24430,1387.52339297026,1.24706828790522,0.298870843698766,4.17259934917622,3.01144218155355e-05,0.00061733228678289
AT2G28690,3909.84386856541,2.32804203898776,0.247746958557852,9.39685416337467,5.62187740952548e-21,9.27730241373336e-19
AT2G29460,2729.98493284836,1.25399731943211,0.224466168408188,5.58657604540091,2.31590162755074e-08,9.46978323916897e-07
AT2G30040,1691.95356700371,1.88092631331127,0.176289070907642,10.6695571292487,1.41298229729518e-26,2.91465446557238e-24
AT2G32560,2364.59292326456,1.38836828152004,0.153739847121223,9.03063394114948,1.70680132001036e-19,2.57726999321564e-17
AT2G33310,8061.44892296544,2.28843058397178,0.139189860176525,16.4410725110976,9.71837255711658e-61,5.75701438941191e-58
AT2G34650,2172.16655900423,1.4106051305595,0.136581423419696,10.3279428141915,5.26782012910638e-25,1.03137668171817e-22
AT2G35770,1385.26920409431,1.05742021818335,0.228833083465557,4.62092369761082,3.82035273548533e-06,9.95629637253071e-05
AT2G36220,2481.85871971932,1.54770429158489,0.149363628682788,10.3619890948943,3.69203109830289e-25,7.35318917793893e-23
AT2G39370,4868.7031572801,4.48846067209938,0.190200854073072,23.5985305848048,3.99035445949815e-123,1.31698798682551e-119
AT2G39420,6633.54688125752,1.07865878977256,0.185572390799081,5.81260383146338,6.15085083343494e-09,2.78633542754603e-07
AT2G40540,6138.65116676708,1.33408157209366,0.120644669173424,11.0579404894878,2.00651882317852e-28,4.58976280909836e-26
AT2G41380,7628.93275091586,1.0146151433964,0.20290231257086,5.00051049463551,5.71787154734437e-07,1.80218262426053e-05
