"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01140",381.689829148758,0.703735091735117,0.204685744681592,3.43812458864608,0.000585758123915672,0.00807444506970392
"AT1G01225",675.47738235153,0.527966930927638,0.137948978242841,3.82726235201409,0.000129576386311544,0.00220632608575365
"AT1G02400",2372.14044364456,1.47465389074677,0.159941084737209,9.21998180248492,2.97150643019639e-20,4.7345319349536e-18
"AT1G02850",8772.23937877141,2.06465761935451,0.123888049965976,16.6655106761429,2.33485865941576e-62,1.41953262127585e-59
"AT1G02860",3231.37533110267,0.998026184187838,0.151411410884351,6.59148592803311,4.35446103625356e-11,2.80225942397119e-09
"AT1G02900",7656.38267864946,1.29630494287024,0.195284053233254,6.63804812224932,3.1786410059906e-11,2.09286316757471e-09
"AT1G03170",88.9812996856693,1.52124108707635,0.42772995667539,3.55654558053515,0.000375763309175521,0.00557621563207346
"AT1G03495",775.277608416419,0.808950884244083,0.150589163899069,5.37190633973023,7.79085745722994e-08,2.85249096409482e-06
"AT1G03610",2121.81164439282,0.500973326186571,0.147901317357667,3.38721341457073,0.00070606440777847,0.00944540012328083
"AT1G03620",366.041999614833,0.702374555564255,0.164655107190964,4.26573197483425,1.99247865116017e-05,0.00043101342956698
"AT1G03820",8169.67590241695,0.985176701271494,0.193092114952897,5.10210736213552,3.35892099218238e-07,1.10858788117699e-05
"AT1G03940",811.846800109924,0.893935574496384,0.171036470041443,5.22657871902863,1.72675322089324e-07,6.00800898528561e-06
"AT1G04100",715.849654228456,1.02224744384421,0.171004520138002,5.97789721008103,2.26036277433886e-09,1.10171226108757e-07
"AT1G04240",917.532381259427,2.07565385692605,0.241313039611153,8.60149895037048,7.86816219211716e-18,1.05684971584002e-15
"AT1G04310",917.056027534602,0.71571286271808,0.118764806085464,6.02630430940163,1.67751201955688e-09,8.31664381712931e-08
"AT1G04550",1868.11902811204,0.529445848076629,0.123427775544697,4.28951948408809,1.79060104910944e-05,0.00039137422930535
