"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G04310",1202.95956767019,0.700679754860365,0.170508090558195,4.10936368219561,3.96750832219954e-05,0.0486277657510387
"AT1G21320",573.775273770323,0.918564246300322,0.172187441214263,5.33467620996409,9.57151990258931e-08,0.000586566668430429
"AT2G33130",59.7126432959163,1.76803517371971,0.420330572769047,4.20629687265495,2.59589188323509e-05,0.0416200531460819
"AT2G41225",17.1111290172872,4.0664908546105,0.928833960929089,4.3780600469678,1.19740363872796e-05,0.0244599628301155
"AT2G41230",8872.34988075039,1.55584637805481,0.31943424385232,4.87063114865702,1.11242334681683e-06,0.00454480558342014
"AT2G41231",7268.93405360573,1.5612242325382,0.314487927255948,4.96433756984125,6.89359515798956e-07,0.00337965396215596
"AT2G44080",10126.0489638094,1.04638959847447,0.253112778245952,4.134084441433,3.56372439078111e-05,0.0481336968047265
"AT3G11773",73.719742067188,1.97063815971696,0.46452465985265,4.24226812919266,2.21272105837834e-05,0.038743165217163
"AT3G59900",2051.69428876623,1.29362445468551,0.194374099219113,6.65533350319087,2.82658372915044e-11,6.92880469526648e-07
"AT4G34770",802.963343110906,0.888876821628023,0.194465261406268,4.57087715924245,4.85686938762606e-06,0.0148820549123597
"AT5G49690",241.59757384955,1.29787136098061,0.310328540253642,4.18224943126345,2.88639050089093e-05,0.0416200531460819
