gene,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3,root_ABA_1,root_ABA_2,root_ABA_3,root_MeJA_1,root_MeJA_2,root_MeJA_3,root_ACC_1,root_ACC_2,root_ACC_3
AT1G01010,2029,1481,2694,2450,1767,2166,1353,1174,1404,1634,1239,1428,2625,1419,2290
AT1G01020,1626,1608,1895,1816,2429,1716,1068,1413,1342,1384,1764,1198,1575,1542,1973
AT1G01030,150,230,375,149,175,260,108,232,223,242,281,388,142,153,246
AT1G01040,3174,2599,4260,3753,2419,3838,2271,2471,3410,2980,2221,2860,3326,2058,3871
AT1G01046,70,42,115,67,45,89,38,57,93,97,49,54,80,38,89
AT1G01050,9025,8165,9355,8939,9338,7507,5575,7561,6597,7374,7591,5464,7511,7434,8120
AT1G01060,2512,2057,2796,2218,1761,2007,2430,3398,3229,1763,1529,1695,2438,1398,2052
AT1G01070,1606,748,1225,1729,1223,1945,1950,1640,2153,1076,580,568,1530,825,908
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,667,546,817,802,727,846,358,448,429,664,509,554,831,515,786
AT1G01090,11777,11072,16546,10645,11261,10239,13325,11880,11901,8160,6708,8825,10413,8504,10895
AT1G01100,32908,34170,31402,31621,50579,26924,15724,28989,16102,25941,34025,20408,27676,32140,27067
AT1G01110,1421,1334,1447,1267,1199,1224,644,780,723,1202,1331,1263,1064,1029,1062
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,3053,3072,5105,4790,3830,4802,15249,13046,10981,2869,2192,3031,3113,2346,3576
AT1G01130,358,296,405,396,329,348,198,319,232,188,205,167,330,269,289
AT1G01140,295,279,318,601,395,399,352,306,300,591,190,177,468,242,254
AT1G01150,42,17,23,10,8,14,13,14,15,8,3,11,22,11,9
AT1G01160,3521,3220,3754,3640,4318,3423,2370,3153,2704,3014,3397,2716,3038,3038,3301
AT1G01170,790,663,1056,716,946,758,588,717,634,799,864,551,873,731,882
AT1G01180,428,384,523,256,226,248,224,166,229,693,385,409,618,275,335
AT1G01183,3,3,8,6,1,7,1,8,3,6,5,1,9,6,6
AT1G01190,614,284,816,276,111,115,222,151,339,175,114,335,530,263,677
AT1G01200,640,644,844,609,626,661,346,445,419,730,853,624,651,586,661
AT1G01210,1628,1409,1744,1721,2107,1578,606,823,676,1305,1523,995,1383,1373,1443
AT1G01220,2412,2296,2828,2292,1714,2043,1564,1791,1904,2346,1980,2057,2645,1732,2496
AT1G01225,576,467,672,858,692,798,733,621,462,423,351,423,501,334,457
AT1G01230,2577,2449,3049,2702,2889,2241,2064,2496,2009,2756,2222,1761,2977,2094,2777
AT1G01240,830,754,925,1254,881,1003,2069,2675,1925,1022,610,583,1187,543,812
AT1G01250,0,2,2,0,2,0,2,2,0,0,6,4,0,0,0
AT1G01260,2275,2072,3115,2259,1821,2274,1291,1314,1785,3015,2708,3074,2399,1816,2425
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0
AT1G01290,1520,1577,1779,1407,1797,1399,958,1235,1016,1419,1506,1139,1509,1391,1420
AT1G01300,8644,8468,10808,8997,9415,8849,4495,5480,5094,7992,8464,7960,7845,6400,7616
AT1G01305,4,0,0,0,2,2,0,2,0,4,4,0,4,4,0
AT1G01310,19,16,13,19,14,21,27,11,8,23,27,10,16,7,8
AT1G01320,2492,2063,2730,2346,1784,2205,1349,1580,1916,2009,1674,1803,2066,1593,2763
AT1G01340,2413,1412,2665,2751,1591,2330,712,548,815,2084,924,1651,2779,1152,2501
AT1G01350,2646,2627,3407,2973,3290,2972,1748,2204,2154,2466,2636,2259,3008,2494,2949
AT1G01355,0,2,0,0,2,0,0,2,0,0,0,0,6,0,0
AT1G01360,1205,1156,1442,1296,1365,1322,941,1247,1026,1055,1119,863,1341,954,1350
AT1G01370,919,915,987,1016,944,798,418,557,417,624,668,589,828,649,726
AT1G01380,152,208,214,91,138,98,78,66,80,125,139,87,153,123,124
AT1G01390,18,9,10,7,2,10,16,5,0,5,10,6,10,2,10
AT1G01400,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AT1G01420,202,98,248,95,45,88,67,58,99,223,120,180,227,103,184
AT1G01430,1531,1631,2227,1223,1199,1238,1193,1700,1469,2452,2347,2157,1493,1394,1481
AT1G01440,1364,1214,1762,1374,989,1269,1074,1038,1038,1526,1098,1287,1825,973,1611
AT1G01448,1047,957,1271,980,1123,1226,776,1035,959,1091,1062,955,966,961,1382
AT1G01450,581,581,723,548,534,736,495,660,545,611,615,536,586,559,828
AT1G01453,81,112,169,211,108,154,69,50,87,111,69,91,262,151,247
AT1G01460,0,2,0,4,2,2,2,0,2,2,0,4,0,0,0
AT1G01470,8728,6658,7998,10753,10213,7395,24697,32537,19090,7316,6147,4143,8800,6704,6488
AT1G01471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01480,348,328,373,348,409,370,287,343,290,324,245,242,347,276,257
AT1G01490,6590,5587,7610,4659,5186,5339,4598,5361,5153,6987,5526,4705,8546,5897,7837
AT1G01500,629,571,768,692,636,655,585,612,518,743,493,458,864,610,712
AT1G01510,5284,4921,5193,5356,5252,4888,3305,4603,3651,4225,4334,3461,4770,4245,4686
AT1G01520,32,14,15,18,16,17,51,144,97,16,17,30,22,21,10
AT1G01530,0,0,3,2,0,1,0,0,0,2,0,0,1,0,0
AT1G01540,4552,4258,5746,4727,4316,4711,4070,5755,4856,3869,3734,3572,4612,3572,4611
AT1G01550,13703,12632,18579,16312,13700,16083,13945,14705,15908,15747,11934,12561,17710,11171,16501
AT1G01560,74,79,108,173,82,106,323,323,137,93,34,64,197,64,84
AT1G01570,245,143,308,203,135,187,632,612,550,145,89,124,222,133,186
AT1G01580,6641,3089,3617,2896,498,1086,322,227,234,1575,241,717,7658,1151,2739
AT1G01590,2,0,2,0,0,0,5,5,3,3,1,2,0,0,0
AT1G01600,1020,1435,1382,952,706,864,2611,3034,2463,535,597,614,903,1076,1087
AT1G01610,2517,2335,3636,3481,2720,2788,14837,11750,11052,1849,1248,1608,2555,1847,2731
AT1G01620,15749,14156,18631,13095,14596,11101,18388,24346,18469,14756,11901,10610,15868,11523,12861
AT1G01630,5102,4765,6474,5695,4721,4893,3330,4461,4051,5299,4264,4705,5078,3933,5157
AT1G01640,2466,1534,2389,1550,1546,1840,1270,1413,1644,2013,1691,1544,2235,1455,2272
AT1G01650,3401,2892,4055,3625,3687,3574,4309,4585,4874,5429,4539,3993,4314,2784,4020
AT1G01660,170,221,391,345,195,290,92,95,157,314,156,291,405,243,327
AT1G01670,155,113,227,161,161,132,87,142,137,196,117,119,163,95,209
AT1G01680,199,123,108,260,160,70,116,131,122,142,70,42,329,66,52
AT1G01690,998,911,1066,988,1084,902,563,663,722,698,609,564,981,692,826
AT1G01695,34,48,40,53,20,37,26,28,33,17,28,24,42,20,18
AT1G01700,288,193,251,200,170,179,116,100,135,246,156,176,164,127,187
AT1G01710,2934,2398,3155,2916,3048,2641,2433,2737,2658,4229,3684,3312,2858,2322,2876
AT1G01720,2906,2709,4123,2537,2957,2671,7613,8319,8026,3941,3499,4029,2921,2576,3704
AT1G01725,641,506,812,691,778,603,445,498,505,890,778,516,801,538,799
AT1G01730,3172,2969,3523,3231,3532,2983,2005,2261,2266,3116,2782,2202,3494,2720,3122
AT1G01740,718,660,792,684,807,770,271,455,409,539,592,516,715,650,861
AT1G01750,1820,2842,3994,1835,1318,1432,1113,889,1471,3476,2756,2994,4389,3235,4563
AT1G01760,670,593,659,561,539,556,420,510,443,601,608,527,623,590,665
AT1G01770,1338,1128,1468,1373,1023,1184,1650,1703,1990,1678,1145,1097,1584,991,1620
AT1G01780,1034,1010,1635,1184,1113,951,1087,1188,1240,1305,816,991,1770,1084,1533
AT1G01790,1542,1220,1788,1421,1026,1310,695,759,960,1404,937,1331,1430,812,1351
AT1G01800,6205,4871,6641,5633,5429,5537,4036,4969,4940,10978,9859,8731,6225,4906,6757
AT1G01810,114,84,125,111,104,161,82,105,97,96,96,89,115,96,116
AT1G01820,4671,4031,4764,4866,4867,4322,2292,2999,2665,5420,4182,3476,5339,4133,4981
AT1G01830,1238,1226,1728,1126,1105,1274,1048,1262,1409,1451,1325,1331,1214,1048,1474
AT1G01840,197,170,212,196,237,175,113,169,166,150,180,132,174,171,149
AT1G01860,535,503,658,532,615,556,394,426,423,443,462,397,433,413,549
AT1G01870,1,0,0,2,0,0,0,0,0,2,2,0,2,0,0
AT1G01880,216,193,173,225,251,175,108,168,118,227,148,145,197,183,162
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,188,136,372,103,111,107,734,1093,1205,213,149,212,234,124,288
