Geneid,SRR7465430.bam,SRR7465431.bam,SRR7465432.bam,SRR7465433.bam,SRR7465434.bam,SRR7465435.bam,SRR7465436.bam,SRR7465437.bam,SRR7465438.bam,SRR7465439.bam,SRR7465440.bam,SRR7465441.bam,SRR7465442.bam,SRR7465443.bam,SRR7465444.bam
Geneid,shoot_control_1,shoot_control_2,shoot_control_3,shoot_IAA_1,shoot_IAA_2,shoot_IAA_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3,shoot_MeJA_1,shoot_MeJA_2,shoot_MeJA_3,shoot_ACC_1,shoot_ACC_2,shoot_ACC_3
AT1G01010,510,830,556,808,894,892,662,706,525,598,687,618,678,959,863
AT1G01020,1094,1502,1082,1365,1187,1537,1381,1133,1147,1595,1368,1639,1564,1563,1441
AT1G01030,337,568,314,299,414,455,370,557,401,866,913,599,474,532,480
AT1G01040,2489,3218,2157,3429,2767,4385,3997,3517,3524,4197,2954,3300,3634,3414,3424
AT1G01046,75,47,41,94,51,103,108,52,62,115,31,65,104,35,57
AT1G01050,3402,5508,2468,5399,4551,3919,5600,5663,4212,4215,3857,3259,4660,5563,3463
AT1G01060,4166,11954,3529,5425,10628,6158,4502,13867,4845,2735,10106,5109,3658,10639,4628
AT1G01070,168,175,183,215,215,348,409,280,609,133,103,200,282,153,308
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,4272,6423,2968,5265,4910,4538,4526,4783,2820,5291,4802,3756,5439,5854,4216
AT1G01090,8539,12803,7631,12771,11730,11653,14772,14852,11815,11802,11895,10054,10986,13096,10257
AT1G01100,12309,18434,11143,17515,14327,17170,12484,12742,10503,13962,16175,17161,17316,18003,14669
AT1G01110,184,245,189,248,209,323,163,109,126,173,179,288,249,176,226
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,2895,8642,3095,7395,13103,6371,13915,28337,12998,5209,7830,4053,2669,6674,4307
AT1G01130,157,295,179,259,289,269,279,260,192,165,160,183,162,184,252
AT1G01140,3520,7225,2169,9258,5661,3495,12615,10117,5693,8716,8289,4168,3934,7124,3295
AT1G01150,12,7,12,23,7,4,10,10,7,10,2,10,4,9,10
AT1G01160,2119,3497,1752,3324,2940,2900,3711,3660,2511,3161,2843,2419,3154,3547,2747
AT1G01170,2501,2958,1601,3570,2402,2379,4438,2908,1855,3520,2205,1879,4049,3454,2116
AT1G01180,423,985,307,920,804,352,1155,732,227,1309,918,413,769,987,423
AT1G01183,2,0,0,0,0,2,3,1,1,0,1,0,2,0,1
AT1G01190,29,25,49,19,12,22,31,29,36,31,8,42,38,25,76
AT1G01200,124,113,79,126,126,131,110,126,111,77,129,166,80,68,104
AT1G01210,817,1382,954,1155,1087,1449,740,734,805,1049,1276,1340,1143,1447,1365
AT1G01220,1357,1991,1123,1898,1663,2011,2144,2199,1914,1799,1647,1522,1829,2220,1449
AT1G01225,116,180,125,227,145,216,249,264,238,94,96,131,184,182,159
AT1G01230,1023,1686,921,1854,1575,1401,2386,2235,1631,1970,1416,1245,1941,1702,1215
AT1G01240,311,400,181,787,424,252,2332,2694,1713,783,388,250,789,547,224
AT1G01250,38,105,33,52,118,79,114,635,277,22,71,45,22,141,37
AT1G01260,773,1348,1022,1232,1252,1632,1443,1218,1232,2179,1789,1949,1256,1216,1250
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AT1G01290,711,1325,744,981,1085,1129,1053,1398,973,1110,1115,1157,1020,1246,1136
AT1G01300,3365,4764,3358,3801,4154,5721,3573,3264,3714,3881,3002,3879,5141,4227,4884
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,15,14,6,17,9,19,19,7,7,4,6,10,8,12,9
AT1G01320,23797,33761,15831,32403,24687,27846,23831,20783,17601,21098,21103,18193,21486,32272,22055
AT1G01340,745,1336,818,1587,1098,1048,602,442,340,1578,1138,1035,1391,963,1236
AT1G01350,1499,2822,1445,2402,2306,2057,2133,2097,1517,2374,2229,1855,2229,2599,2251
AT1G01355,0,1,0,2,2,0,0,0,9,2,0,0,2,0,3
AT1G01360,430,799,311,708,704,525,906,995,455,545,442,395,670,708,508
AT1G01370,262,222,246,295,199,349,237,212,258,206,163,305,301,218,268
AT1G01380,42,101,59,32,84,68,70,45,59,49,42,54,39,89,55
