gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT1G01010,2029,1481,2694,2625,1419,2290
AT1G01020,1626,1608,1895,1575,1542,1973
AT1G01030,150,230,375,142,153,246
AT1G01040,3174,2599,4260,3326,2058,3871
AT1G01046,70,42,115,80,38,89
AT1G01050,9025,8165,9355,7511,7434,8120
AT1G01060,2512,2057,2796,2438,1398,2052
AT1G01070,1606,748,1225,1530,825,908
AT1G01073,0,0,0,0,0,0
AT1G01080,667,546,817,831,515,786
AT1G01090,11777,11072,16546,10413,8504,10895
AT1G01100,32908,34170,31402,27676,32140,27067
AT1G01110,1421,1334,1447,1064,1029,1062
AT1G01115,0,0,0,0,0,0
AT1G01120,3053,3072,5105,3113,2346,3576
AT1G01130,358,296,405,330,269,289
AT1G01140,295,279,318,468,242,254
AT1G01150,42,17,23,22,11,9
AT1G01160,3521,3220,3754,3038,3038,3301
AT1G01170,790,663,1056,873,731,882
AT1G01180,428,384,523,618,275,335
AT1G01183,3,3,8,9,6,6
AT1G01190,614,284,816,530,263,677
AT1G01200,640,644,844,651,586,661
AT1G01210,1628,1409,1744,1383,1373,1443
AT1G01220,2412,2296,2828,2645,1732,2496
AT1G01225,576,467,672,501,334,457
AT1G01230,2577,2449,3049,2977,2094,2777
AT1G01240,830,754,925,1187,543,812
AT1G01250,0,2,2,0,0,0
AT1G01260,2275,2072,3115,2399,1816,2425
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1,0,0,4,0
AT1G01290,1520,1577,1779,1509,1391,1420
AT1G01300,8644,8468,10808,7845,6400,7616
AT1G01305,4,0,0,4,4,0
AT1G01310,19,16,13,16,7,8
AT1G01320,2492,2063,2730,2066,1593,2763
AT1G01340,2413,1412,2665,2779,1152,2501
AT1G01350,2646,2627,3407,3008,2494,2949
AT1G01355,0,2,0,6,0,0
AT1G01360,1205,1156,1442,1341,954,1350
AT1G01370,919,915,987,828,649,726
AT1G01380,152,208,214,153,123,124
AT1G01390,18,9,10,10,2,10
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,202,98,248,227,103,184
AT1G01430,1531,1631,2227,1493,1394,1481
AT1G01440,1364,1214,1762,1825,973,1611
AT1G01448,1047,957,1271,966,961,1382
AT1G01450,581,581,723,586,559,828
AT1G01453,81,112,169,262,151,247
AT1G01460,0,2,0,0,0,0
AT1G01470,8728,6658,7998,8800,6704,6488
AT1G01471,0,0,0,0,0,0
AT1G01480,348,328,373,347,276,257
AT1G01490,6590,5587,7610,8546,5897,7837
AT1G01500,629,571,768,864,610,712
AT1G01510,5284,4921,5193,4770,4245,4686
AT1G01520,32,14,15,22,21,10
AT1G01530,0,0,3,1,0,0
AT1G01540,4552,4258,5746,4612,3572,4611
AT1G01550,13703,12632,18579,17710,11171,16501
AT1G01560,74,79,108,197,64,84
AT1G01570,245,143,308,222,133,186
AT1G01580,6641,3089,3617,7658,1151,2739
AT1G01590,2,0,2,0,0,0
AT1G01600,1020,1435,1382,903,1076,1087
AT1G01610,2517,2335,3636,2555,1847,2731
AT1G01620,15749,14156,18631,15868,11523,12861
AT1G01630,5102,4765,6474,5078,3933,5157
AT1G01640,2466,1534,2389,2235,1455,2272
AT1G01650,3401,2892,4055,4314,2784,4020
AT1G01660,170,221,391,405,243,327
AT1G01670,155,113,227,163,95,209
AT1G01680,199,123,108,329,66,52
AT1G01690,998,911,1066,981,692,826
AT1G01695,34,48,40,42,20,18
AT1G01700,288,193,251,164,127,187
AT1G01710,2934,2398,3155,2858,2322,2876
AT1G01720,2906,2709,4123,2921,2576,3704
AT1G01725,641,506,812,801,538,799
AT1G01730,3172,2969,3523,3494,2720,3122
AT1G01740,718,660,792,715,650,861
AT1G01750,1820,2842,3994,4389,3235,4563
AT1G01760,670,593,659,623,590,665
AT1G01770,1338,1128,1468,1584,991,1620
AT1G01780,1034,1010,1635,1770,1084,1533
AT1G01790,1542,1220,1788,1430,812,1351
AT1G01800,6205,4871,6641,6225,4906,6757
AT1G01810,114,84,125,115,96,116
AT1G01820,4671,4031,4764,5339,4133,4981
AT1G01830,1238,1226,1728,1214,1048,1474
AT1G01840,197,170,212,174,171,149
AT1G01860,535,503,658,433,413,549
AT1G01870,1,0,0,2,0,0
AT1G01880,216,193,173,197,183,162
AT1G01890,0,0,0,0,0,0
AT1G01900,188,136,372,234,124,288
AT1G01910,5189,4882,5543,5343,4146,4844
AT1G01920,3116,3671,3160,2764,3243,3189
AT1G01930,1419,1192,1556,1525,1013,1504
AT1G01940,2217,2029,2211,2066,2106,2276
AT1G01950,2409,2306,2917,2349,1990,2584
AT1G01960,12478,10894,15065,12010,8621,13904
AT1G01970,501,446,528,489,334,526
AT1G01980,0,2,1,4,3,2
AT1G01990,1817,1437,1891,1905,1367,1689
AT1G02000,1196,1078,1677,1239,1034,1332
AT1G02010,937,753,1002,817,619,824
AT1G02020,630,554,908,646,457,656
AT1G02030,115,96,155,95,52,91
AT1G02040,12,13,13,22,8,20
AT1G02050,1016,970,806,736,729,891
AT1G02060,1166,946,1045,835,656,1005
AT1G02065,0,0,3,3,2,2
AT1G02070,19,9,17,34,9,16
AT1G02074,0,0,0,1,2,0
AT1G02080,13048,11056,16560,12858,8817,15075
AT1G02090,4269,4076,5281,4150,3617,4292
AT1G02100,3927,3725,4609,4091,3392,4165
AT1G02110,3073,2664,3083,2352,2399,2944
AT1G02120,5841,4665,6821,6423,3732,6374
AT1G02130,4329,3896,4891,4267,3716,3982
AT1G02140,8821,8529,9936,8186,7584,7833
AT1G02145,2202,2258,2795,2066,1908,2260
AT1G02150,2373,2364,2515,2035,2056,2335
AT1G02160,1528,1409,1554,1369,1370,1319
AT1G02170,2904,2387,3401,2865,2118,3010
AT1G02180,387,296,432,340,311,385
AT1G02190,2,0,4,2,0,0
AT1G02205,72,60,123,76,75,102
AT1G02210,0,0,0,0,0,0
AT1G02220,6724,6360,8373,7946,6415,8752
AT1G02230,320,328,410,533,414,427
AT1G02250,12,18,9,12,5,4
AT1G02260,1926,1755,2193,1746,1522,1887
AT1G02270,1461,1216,1919,1629,1185,1697
AT1G02280,1808,1759,1844,1578,1688,1576
AT1G02290,1176,1045,1347,1174,815,1224
AT1G02300,387,394,444,444,297,392
AT1G02305,6554,5096,6566,7493,4595,5466
AT1G02310,324,209,327,426,175,228
AT1G02320,3,0,3,5,8,3
AT1G02330,3510,2943,3915,3259,2572,3445
AT1G02335,540,770,2128,639,708,1866
AT1G02340,563,603,836,721,557,673
AT1G02350,149,169,161,82,134,157
AT1G02360,5803,4824,7220,8755,4188,6379
AT1G02370,1314,1236,1464,1111,1157,1317
AT1G02380,350,329,427,588,292,429
AT1G02390,547,623,625,486,452,465
AT1G02391,0,0,0,0,0,0
AT1G02400,1156,1230,1484,1998,1199,1690
AT1G02405,10,8,6,10,16,8
AT1G02410,2599,2246,2941,2515,2027,2627
AT1G02420,521,582,632,564,387,537
AT1G02430,573,595,635,536,530,466
AT1G02440,107,54,97,83,47,47
AT1G02450,21,18,34,46,28,36
AT1G02460,301,157,483,288,146,410
AT1G02470,50,53,64,67,31,84
AT1G02475,579,458,750,583,464,605
AT1G02480,0,0,0,0,0,0
AT1G02490,13,22,15,10,15,5
AT1G02500,55378,51779,69626,52737,44212,55966
AT1G02510,2,0,0,5,0,1
AT1G02520,5462,4592,6536,7771,4017,5223
AT1G02530,206,186,217,196,124,215
AT1G02540,1,0,1,0,0,0
AT1G02550,0,0,2,0,0,0
AT1G02560,5535,4882,6168,4893,4277,5018
