gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT1G01010,510,830,556,662,706,525
AT1G01020,1094,1502,1082,1381,1133,1147
AT1G01030,337,568,314,370,557,401
AT1G01040,2489,3218,2157,3997,3517,3524
AT1G01046,75,47,41,108,52,62
AT1G01050,3402,5508,2468,5600,5663,4212
AT1G01060,4166,11954,3529,4502,13867,4845
AT1G01070,168,175,183,409,280,609
AT1G01073,0,0,0,0,0,0
AT1G01080,4272,6423,2968,4526,4783,2820
AT1G01090,8539,12803,7631,14772,14852,11815
AT1G01100,12309,18434,11143,12484,12742,10503
AT1G01110,184,245,189,163,109,126
AT1G01115,0,0,0,0,0,0
AT1G01120,2895,8642,3095,13915,28337,12998
AT1G01130,157,295,179,279,260,192
AT1G01140,3520,7225,2169,12615,10117,5693
AT1G01150,12,7,12,10,10,7
AT1G01160,2119,3497,1752,3711,3660,2511
AT1G01170,2501,2958,1601,4438,2908,1855
AT1G01180,423,985,307,1155,732,227
AT1G01183,2,0,0,3,1,1
AT1G01190,29,25,49,31,29,36
AT1G01200,124,113,79,110,126,111
AT1G01210,817,1382,954,740,734,805
AT1G01220,1357,1991,1123,2144,2199,1914
AT1G01225,116,180,125,249,264,238
AT1G01230,1023,1686,921,2386,2235,1631
AT1G01240,311,400,181,2332,2694,1713
AT1G01250,38,105,33,114,635,277
AT1G01260,773,1348,1022,1443,1218,1232
AT1G01270,0,0,0,0,0,0
AT1G01280,0,0,0,1,0,0
AT1G01290,711,1325,744,1053,1398,973
AT1G01300,3365,4764,3358,3573,3264,3714
AT1G01305,0,0,0,0,0,0
AT1G01310,15,14,6,19,7,7
AT1G01320,23797,33761,15831,23831,20783,17601
AT1G01340,745,1336,818,602,442,340
AT1G01350,1499,2822,1445,2133,2097,1517
AT1G01355,0,1,0,0,0,9
AT1G01360,430,799,311,906,995,455
AT1G01370,262,222,246,237,212,258
AT1G01380,42,101,59,70,45,59
AT1G01390,193,251,86,54,126,66
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,1,0,0,0
AT1G01420,477,907,346,841,1244,907
AT1G01430,2446,5356,1845,5632,4269,2591
AT1G01440,962,1727,780,1769,1522,1133
AT1G01448,636,802,605,1386,756,747
AT1G01450,361,496,328,829,438,421
AT1G01453,12,31,10,14,18,20
AT1G01460,4,12,17,15,54,21
AT1G01470,2560,3095,1634,20106,27514,20484
AT1G01471,0,0,0,0,0,0
AT1G01480,85,140,178,421,697,611
AT1G01490,7038,12331,6534,11531,14154,9286
AT1G01500,841,1528,822,1324,1438,1442
AT1G01510,1724,2839,1621,2707,2706,2295
AT1G01520,253,365,75,197,1827,661
AT1G01530,2,0,6,0,0,0
AT1G01540,3358,6208,3134,7243,7120,5127
AT1G01550,7739,17016,8703,17326,16783,11474
AT1G01560,141,429,364,838,694,470
AT1G01570,145,174,108,364,370,263
AT1G01580,543,480,358,193,177,163
AT1G01590,4,4,1,2,15,8
AT1G01600,601,1628,437,2034,2738,1136
AT1G01610,2615,5939,2285,8556,11012,7964
AT1G01620,4771,7188,3888,12028,14486,8162
AT1G01630,2541,5592,2485,5859,7488,4443
AT1G01640,163,149,180,215,152,226
AT1G01650,1796,2989,1607,3689,4671,3734
AT1G01660,39,78,65,65,51,30
AT1G01670,61,106,46,116,104,121
AT1G01680,24,73,64,72,90,27
AT1G01690,347,394,246,352,386,399
AT1G01695,14,14,14,15,23,9
AT1G01700,47,51,57,142,83,134
AT1G01710,1875,2996,1608,3846,4159,2942
AT1G01720,2581,5084,2387,6039,10614,6853
AT1G01725,288,471,323,534,438,414
AT1G01730,1373,2130,1206,2106,2267,1692
AT1G01740,557,982,541,461,570,469
AT1G01750,310,449,405,281,244,291
AT1G01760,210,307,236,325,255,273
AT1G01770,1080,1587,937,3394,2431,2211
AT1G01780,434,613,369,1092,771,696
AT1G01790,5656,10921,3329,7963,9944,4183
AT1G01800,2438,4402,2205,4370,4700,3232
AT1G01810,59,102,55,57,101,65
AT1G01820,2903,4591,2762,4125,3500,2684
AT1G01830,800,1528,600,1465,3389,1994
AT1G01840,159,298,133,227,215,158
AT1G01860,723,1154,578,930,782,629
AT1G01870,0,0,0,0,1,0
AT1G01880,111,151,72,159,170,137
AT1G01890,2,0,0,0,0,2
AT1G01900,322,449,226,950,1521,1123
AT1G01910,3015,5018,2645,4472,4654,3618
AT1G01920,1170,1842,1219,1637,1618,1383
AT1G01930,871,1342,761,1388,1336,984
AT1G01940,1339,2538,1120,1271,1642,1150
AT1G01950,1127,2405,1293,2050,1841,1391
AT1G01960,4715,7253,4836,8021,7178,6994
AT1G01970,1981,2735,1247,1714,2194,1419
AT1G01980,4,8,4,2,0,2
AT1G01990,1258,2088,1069,1896,1581,1279
