gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G01010,2029,1481,2694,2450,1767,2166
AT1G01020,1626,1608,1895,1816,2429,1716
AT1G01030,150,230,375,149,175,260
AT1G01040,3174,2599,4260,3753,2419,3838
AT1G01046,70,42,115,67,45,89
AT1G01050,9025,8165,9355,8939,9338,7507
AT1G01060,2512,2057,2796,2218,1761,2007
AT1G01070,1606,748,1225,1729,1223,1945
AT1G01073,0,0,0,0,0,0
AT1G01080,667,546,817,802,727,846
AT1G01090,11777,11072,16546,10645,11261,10239
AT1G01100,32908,34170,31402,31621,50579,26924
AT1G01110,1421,1334,1447,1267,1199,1224
AT1G01115,0,0,0,0,0,0
AT1G01120,3053,3072,5105,4790,3830,4802
AT1G01130,358,296,405,396,329,348
AT1G01140,295,279,318,601,395,399
AT1G01150,42,17,23,10,8,14
AT1G01160,3521,3220,3754,3640,4318,3423
AT1G01170,790,663,1056,716,946,758
AT1G01180,428,384,523,256,226,248
AT1G01183,3,3,8,6,1,7
AT1G01190,614,284,816,276,111,115
AT1G01200,640,644,844,609,626,661
AT1G01210,1628,1409,1744,1721,2107,1578
AT1G01220,2412,2296,2828,2292,1714,2043
AT1G01225,576,467,672,858,692,798
AT1G01230,2577,2449,3049,2702,2889,2241
AT1G01240,830,754,925,1254,881,1003
AT1G01250,0,2,2,0,2,0
AT1G01260,2275,2072,3115,2259,1821,2274
AT1G01270,0,0,0,0,0,0
AT1G01280,0,1,0,3,0,0
AT1G01290,1520,1577,1779,1407,1797,1399
AT1G01300,8644,8468,10808,8997,9415,8849
AT1G01305,4,0,0,0,2,2
AT1G01310,19,16,13,19,14,21
AT1G01320,2492,2063,2730,2346,1784,2205
AT1G01340,2413,1412,2665,2751,1591,2330
AT1G01350,2646,2627,3407,2973,3290,2972
AT1G01355,0,2,0,0,2,0
AT1G01360,1205,1156,1442,1296,1365,1322
AT1G01370,919,915,987,1016,944,798
AT1G01380,152,208,214,91,138,98
AT1G01390,18,9,10,7,2,10
AT1G01400,0,0,0,0,0,2
AT1G01410,0,0,0,0,0,0
AT1G01420,202,98,248,95,45,88
AT1G01430,1531,1631,2227,1223,1199,1238
AT1G01440,1364,1214,1762,1374,989,1269
AT1G01448,1047,957,1271,980,1123,1226
AT1G01450,581,581,723,548,534,736
AT1G01453,81,112,169,211,108,154
AT1G01460,0,2,0,4,2,2
AT1G01470,8728,6658,7998,10753,10213,7395
AT1G01471,0,0,0,0,0,0
AT1G01480,348,328,373,348,409,370
AT1G01490,6590,5587,7610,4659,5186,5339
AT1G01500,629,571,768,692,636,655
AT1G01510,5284,4921,5193,5356,5252,4888
AT1G01520,32,14,15,18,16,17
AT1G01530,0,0,3,2,0,1
AT1G01540,4552,4258,5746,4727,4316,4711
AT1G01550,13703,12632,18579,16312,13700,16083
AT1G01560,74,79,108,173,82,106
AT1G01570,245,143,308,203,135,187
AT1G01580,6641,3089,3617,2896,498,1086
AT1G01590,2,0,2,0,0,0
AT1G01600,1020,1435,1382,952,706,864
AT1G01610,2517,2335,3636,3481,2720,2788
AT1G01620,15749,14156,18631,13095,14596,11101
AT1G01630,5102,4765,6474,5695,4721,4893
AT1G01640,2466,1534,2389,1550,1546,1840
AT1G01650,3401,2892,4055,3625,3687,3574
AT1G01660,170,221,391,345,195,290
AT1G01670,155,113,227,161,161,132
AT1G01680,199,123,108,260,160,70
AT1G01690,998,911,1066,988,1084,902
AT1G01695,34,48,40,53,20,37
AT1G01700,288,193,251,200,170,179
AT1G01710,2934,2398,3155,2916,3048,2641
AT1G01720,2906,2709,4123,2537,2957,2671
AT1G01725,641,506,812,691,778,603
AT1G01730,3172,2969,3523,3231,3532,2983
AT1G01740,718,660,792,684,807,770
AT1G01750,1820,2842,3994,1835,1318,1432
AT1G01760,670,593,659,561,539,556
AT1G01770,1338,1128,1468,1373,1023,1184
AT1G01780,1034,1010,1635,1184,1113,951
AT1G01790,1542,1220,1788,1421,1026,1310
AT1G01800,6205,4871,6641,5633,5429,5537
AT1G01810,114,84,125,111,104,161
AT1G01820,4671,4031,4764,4866,4867,4322
AT1G01830,1238,1226,1728,1126,1105,1274
AT1G01840,197,170,212,196,237,175
AT1G01860,535,503,658,532,615,556
AT1G01870,1,0,0,2,0,0
AT1G01880,216,193,173,225,251,175
AT1G01890,0,0,0,0,0,0
AT1G01900,188,136,372,103,111,107
AT1G01910,5189,4882,5543,5134,4684,4454
AT1G01920,3116,3671,3160,3387,4227,3468
AT1G01930,1419,1192,1556,1390,1322,1325
AT1G01940,2217,2029,2211,2731,3046,2047
AT1G01950,2409,2306,2917,2776,2251,2534
AT1G01960,12478,10894,15065,12411,9084,12738
AT1G01970,501,446,528,527,524,434
AT1G01980,0,2,1,2,0,6
AT1G01990,1817,1437,1891,1723,1813,1687
AT1G02000,1196,1078,1677,1340,1234,1320
AT1G02010,937,753,1002,751,753,804
AT1G02020,630,554,908,681,605,694
AT1G02030,115,96,155,160,104,129
AT1G02040,12,13,13,11,18,4
AT1G02050,1016,970,806,775,1197,867
AT1G02060,1166,946,1045,998,719,1033
AT1G02065,0,0,3,18,8,14
AT1G02070,19,9,17,21,7,6
AT1G02074,0,0,0,0,0,0
AT1G02080,13048,11056,16560,14526,9607,15186
AT1G02090,4269,4076,5281,4539,5125,4248
AT1G02100,3927,3725,4609,3876,4200,3648
AT1G02110,3073,2664,3083,3007,3452,2986
AT1G02120,5841,4665,6821,5829,4674,5839
AT1G02130,4329,3896,4891,4101,4627,4002
AT1G02140,8821,8529,9936,9167,11088,8670
AT1G02145,2202,2258,2795,2332,2325,2198
AT1G02150,2373,2364,2515,2445,2905,2467
AT1G02160,1528,1409,1554,1385,1900,1092
AT1G02170,2904,2387,3401,2855,2858,2418
AT1G02180,387,296,432,463,510,363
AT1G02190,2,0,4,0,4,0
