gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G01010,339,383,363,650,485,782
AT1G01020,126,117,89,60,112,119
AT1G01030,153,158,143,97,170,172
AT1G01040,1238,442,543,783,876,1046
AT1G01046,2,2,1,0,0,0
AT1G01050,1444,1005,979,1035,1238,1684
AT1G01060,1939,1459,1417,1038,1501,1450
AT1G01070,68,60,86,178,241,321
AT1G01080,913,823,988,509,779,879
AT1G01090,2775,1799,2051,1222,2669,2280
AT1G01100,4826,2393,2573,4083,2675,3486
AT1G01110,234,161,190,171,219,261
AT1G01120,5638,5111,5205,5769,9107,8738
AT1G01130,54,21,13,19,25,28
AT1G01140,1217,555,581,903,819,1125
AT1G01150,5,2,5,8,5,4
AT1G01160,699,453,487,582,659,849
AT1G01170,1034,709,683,678,721,1161
AT1G01180,387,448,445,708,666,858
AT1G01183,0,0,0,0,0,0
AT1G01190,3,7,11,22,28,22
AT1G01200,127,83,81,47,90,83
AT1G01210,180,70,83,110,70,106
AT1G01220,788,405,419,341,484,483
AT1G01225,55,32,35,15,42,55
AT1G01230,728,429,412,409,511,607
AT1G01240,248,177,146,191,277,281
AT1G01250,19,4,0,9,6,4
AT1G01260,939,483,455,727,496,692
AT1G01270,0,0,0,0,0,0
AT1G01280,2,2,0,3,4,1
AT1G01290,222,105,127,158,153,212
AT1G01300,5822,4063,4862,3201,4069,4310
AT1G01305,6,6,5,5,8,7
AT1G01310,17,24,26,26,56,26
AT1G01320,14955,11719,12617,6422,11537,9477
AT1G01335,0,0,0,0,0,0
AT1G01340,111,94,103,178,206,233
AT1G01350,349,309,311,319,416,416
AT1G01355,11,4,4,6,8,5
AT1G01360,363,163,186,211,242,353
AT1G01370,86,60,39,40,56,70
AT1G01380,294,145,150,78,123,160
AT1G01390,953,579,692,279,617,480
AT1G01400,0,2,1,4,0,0
AT1G01410,2,0,2,4,1,3
AT1G01420,135,128,135,53,85,92
AT1G01430,1549,1732,1527,1057,1782,1850
AT1G01440,763,644,635,797,962,1101
AT1G01448,322,307,329,400,509,542
AT1G01450,151,111,157,181,185,216
AT1G01453,26,34,68,36,76,45
AT1G01460,2,2,7,6,5,2
AT1G01470,1421,1128,1124,1003,1669,1607
AT1G01480,126,74,49,110,58,104
AT1G01490,1407,1084,1258,3058,1931,2405
AT1G01500,294,173,201,305,248,316
AT1G01510,1690,799,952,1218,1068,1335
AT1G01520,188,10,23,27,25,47
AT1G01530,5,0,2,0,5,4
AT1G01540,1619,1005,1045,1502,1297,1551
AT1G01550,2485,2387,2161,2281,3688,4223
AT1G01560,17,8,9,9,7,20
AT1G01570,43,22,44,38,63,42
AT1G01580,339,110,176,311,202,409
AT1G01590,31,15,15,24,14,20
AT1G01600,569,292,299,308,544,485
AT1G01610,3646,2225,2320,1968,2493,2720
AT1G01620,7041,11425,10164,9512,24607,20771
