gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT1G01070,150.95293595857038,-1.5669206329410277,0.28766970256643054,-5.446943557009394,5.1242714964226565e-8,3.98827351537089e-6,Q5XEZ0,UNIPROT:Q5XEZ0
AT1G01640,291.28525585789606,-1.5252439993037756,0.33762880271785695,-4.517517424537864,6.25688806795172e-6,2.0261724617179092e-4,A0A2H1ZE92,UNIPROT:A0A2H1ZE92
AT1G02360,847.8815916922568,-1.0719187935960874,0.28930392950693035,-3.7051649987022017,2.1125316950295752e-4,0.0033816987864193292,A0A178WGG8,UNIPROT:A0A178WGG8
AT1G02520,339.02122659518506,-1.1250514992607004,0.25572426738895254,-4.399471003467633,1.0851507510930789e-5,3.185037399599725e-4,Q9FWX7,UNIPROT:Q9FWX7
AT1G02580,49.48712303647465,-1.7247855042900615,0.36068489386670133,-4.781973222664247,1.7358280597225445e-6,6.946697719148503e-5,A0A1P8AVN9,UNIPROT:A0A1P8AVN9
AT1G02860,300.93595206965136,-1.19152486828707,0.2521804556276588,-4.724889822732105,2.3024015132362803e-6,8.85306721554618e-5,A0A1P8AR01,UNIPROT:A0A1P8AR01
AT1G03010,38.496467642198745,-2.065466371147414,0.42846970965690856,-4.820565665660027,1.4315172529885538e-6,6.062059271520572e-5,A0A1P8AM10,UNIPROT:A0A1P8AM10
AT1G03090,1049.3057378565816,-1.4906229260502006,0.185049527058666,-8.055264716119108,7.930698334888052e-16,6.629770078398452e-13,Q42523,UNIPROT:Q42523
AT1G03840,53.713568799381605,-1.321663685034242,0.38329218315605035,-3.4481884659154423,5.643600951275704e-4,0.007249955439456114,Q9ZWA6,UNIPROT:Q9ZWA6
AT1G03850,854.4720675097732,-1.2093953765052632,0.24691236072725506,-4.898075466708565,9.677986732280738e-7,4.430868935787191e-5,A0A178WH08,UNIPROT:A0A178WH08
AT1G05147,113.89055180836917,-2.226205037407207,0.3708661892920024,-6.0027176962589035,1.9404183186905853e-9,2.5463477832072793e-7,NA,NA
AT1G05570,2700.161303047363,-1.0246374284047177,0.19544009244340638,-5.2427187052289295,1.582276689465483e-7,1.011715783510635e-5,F4I8T3,UNIPROT:F4I8T3
AT1G05700,197.54545042541338,-1.53181299878706,0.2986173525163602,-5.129685150172702,2.9022719013979924e-7,1.692691966058245e-5,A0A1P8AQG2,UNIPROT:A0A1P8AQG2
AT1G06090,43.882078019417065,-1.7667598839295988,0.4446545181173416,-3.9733316809869046,7.087424753636338e-5,0.0014615223997262586,A0A178W8C2,UNIPROT:A0A178W8C2
AT1G06570,1576.5871173746345,-1.6629591964214079,0.26058015081564084,-6.381756980400027,1.750676331026852e-10,3.348687751492125e-8,A0A178WHQ7,UNIPROT:A0A178WHQ7
AT1G07560,64.90209818797135,-1.3811847979541563,0.337754552964412,-4.089315113095417,4.326487655546013e-5,9.765315287332906e-4,C0LGD9,UNIPROT:C0LGD9
AT1G07590,23270.5073209462,-1.4574902899809132,0.28699569828115123,-5.0784394982572305,3.80547574461553e-7,2.0747196384472736e-5,Q940Q2,UNIPROT:Q940Q2
AT1G07600,493.5441287209462,-1.490434029917853,0.23816281701839273,-6.258046695016839,3.898291120727562e-10,6.665782491359228e-8,P43392,UNIPROT:P43392
AT1G07610,2383.2867531002216,-1.0825958565970903,0.25554793994278263,-4.236370901050834,2.271614289567352e-5,5.754501249138575e-4,Q38804,UNIPROT:Q38804
AT1G08670,88.65013628914538,-1.9695650170753816,0.3111959848551142,-6.32901808804624,2.4672619002038315e-10,4.419727646785768e-8,A0A1P8ART5,UNIPROT:A0A1P8ART5
AT1G08803,403.19065481606884,-1.859803670382145,0.30243532378957805,-6.149426089116889,7.776381323474099e-10,1.1779912943096234e-7,NA,NA
AT1G09090,343.5789370664339,-1.5361878246009106,0.2903884700918836,-5.290113013491327,1.2224080368786544e-7,8.285577117233667e-6,F4HZD8,UNIPROT:F4HZD8
AT1G09460,1287.7645837154164,-1.0076284993156688,0.23275325207141911,-4.329170442724827,1.4967206487704265e-5,4.1198148491947926e-4,A0A178WHF5,UNIPROT:A0A178WHF5
AT1G10070,353.2110223177863,-2.4749370478305877,0.29511144156579106,-8.386448979067572,5.010470224497363e-17,4.917014062483912e-14,Q2V4P2,UNIPROT:Q2V4P2
AT1G10340,51.953748993571736,-1.5564205976447223,0.34376227586754105,-4.527607323162023,5.965530491331394e-6,1.942972420199724e-4,A0A178WFS3,UNIPROT:A0A178WFS3
AT1G10682,1542.8330755891789,-1.3295095067091687,0.3735515288085374,-3.55910605144546,3.721192579623713e-4,0.005226573597678085,NA,NA
AT1G11080,31.149661204449167,-2.2709154133963456,0.5704474676409761,-3.980936970037699,6.864415105873972e-5,0.001426673235310142,F4I7C9,UNIPROT:F4I7C9
AT1G11185,122.59038246290501,-1.2977597729023136,0.3225394631378406,-4.023568962002341,5.732278875871938e-5,0.001228710982975361,NA,NA
AT1G11260,3993.4444879428947,-1.0311266141785516,0.1777564471214535,-5.800783211390505,6.600589017900042e-9,7.303034055050091e-7,P23586,UNIPROT:P23586
