gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT1G01420,106.03818699797671,1.0104466461464792,0.28364783420224504,3.562328085417412,3.675806117075186e-4,0.005178940066698129,A0A1P8AUD8,UNIPROT:A0A1P8AUD8
AT1G02800,1691.2979412069517,1.895307676791612,0.2783990925030347,6.807880226013856,9.90472691956022e-12,3.1487266380477992e-9,Q9SRX3,UNIPROT:Q9SRX3
AT1G03310,289.53435284160025,1.0907209955158397,0.2637938333909985,4.134747888132622,3.5534451219194504e-5,8.302808357698649e-4,Q8L735,UNIPROT:Q8L735
AT1G03630,604.8847871696349,1.3694373440315037,0.28604779339913095,4.787442433162514,1.6892016895035096e-6,6.772108585041511e-5,F4I2F8,UNIPROT:F4I2F8
AT1G04110,111.71093359803068,1.6117074531611666,0.31264301265339844,5.155104665486108,2.5348930085909536e-7,1.4977767041074978e-5,O64495,UNIPROT:O64495
AT1G04520,287.4062863527393,1.11283873590368,0.25482204967897876,4.367121045080748,1.2589496452435548e-5,3.601489536475573e-4,Q6NM73,UNIPROT:Q6NM73
AT1G06000,1670.9535295829126,1.6932980082934408,0.25861691410855586,6.547514551127424,5.850252244629575e-11,1.4352830805818928e-8,Q1G3D2,UNIPROT:Q1G3D2
AT1G06002,1682.8201289045514,1.7140197860354862,0.2670155973101129,6.419174772194365,1.3701503650870983e-10,2.7612199902125803e-8,NA,NA
AT1G06330,54.56028467718765,1.1714119855256913,0.33982723874381876,3.44708090456742,5.666788553036397e-4,0.007271465857338517,A0A178WC78,UNIPROT:A0A178WC78
AT1G06350,493.7057792826592,1.0844729673472622,0.3157240667258062,3.434875835072414,5.928253866166734e-4,0.007551163544765765,Q9LMI4,UNIPROT:Q9LMI4
AT1G06360,1400.641422718421,1.2557575865629904,0.1829521306031808,6.863858772362161,6.70248958384361e-12,2.1924911941584655e-9,A0A1P8AN77,UNIPROT:A0A1P8AN77
AT1G06457,84.62290525802445,1.3390614468028053,0.3504933311285554,3.820504779623492,1.331788241518636e-4,0.00234265136751939,NA,NA
AT1G06463,344.48320537803914,1.3589386306531135,0.3625109235437955,3.7486832599926827,1.777654200875814e-4,0.002965516109975462,NA,NA
AT1G07167,33.185039013397,1.516762574830205,0.4223302055913544,3.591413909659638,3.288888208725133e-4,0.00475550901724119,NA,NA
AT1G09687,16947.028942032677,1.603307647946072,0.3820774579338202,4.196289560280161,2.7132332450311194e-5,6.613432783325853e-4,NA,NA
AT1G09750,3422.3911681525547,1.2657294743917993,0.2434262115181967,5.1996433190070945,1.9967131709165429e-7,1.2213499452779752e-5,O04496,UNIPROT:O04496
AT1G10370,474.81959567407785,1.8701090584332112,0.1887097102106547,9.909977903869535,3.767294825590325e-23,8.503161150839922e-20,Q9FUS8,UNIPROT:Q9FUS8
AT1G10522,5248.545545431091,1.6488274775505225,0.23223349734532847,7.099869297058105,1.2487493071591528e-12,4.677017246695562e-10,Q9XIK0,UNIPROT:Q9XIK0
AT1G10640,58.30864180984658,2.1512789858546513,0.40393767107579903,5.325769641947961,1.0052646655628903e-7,7.0502395328352555e-6,F4I5U6,UNIPROT:F4I5U6
AT1G11600,1426.1887135558338,1.8270101974362603,0.2812844547631875,6.4952405527508255,8.290083972927012e-11,1.871154853529356e-8,NA,NA
AT1G11790,254.9823199107778,1.2422197753335904,0.2529892966734855,4.910167314061635,9.099871699103859e-7,4.2213561389723476e-5,Q9SA96,UNIPROT:Q9SA96
AT1G12064,195.1925506710917,1.6712617880922789,0.3050855806349046,5.478009759144517,4.3013641527591715e-8,3.4673603675688304e-6,O65372,UNIPROT:O65372
AT1G12845,212.0801755680443,1.654245964906187,0.2785752353698225,5.93823769980879,2.881021314062776e-9,3.553417053536116e-7,A0A178W8U8,UNIPROT:A0A178W8U8
AT1G13420,447.31097623883034,1.3070231538650707,0.3235563754576545,4.039553082569772,5.355314717376653e-5,0.0011644971915790792,Q9FX56,UNIPROT:Q9FX56
AT1G14120,196.22131013021524,1.4017152569773563,0.41923821963448,3.343481560911755,8.273419204578928e-4,0.009802590281708714,A0A384LHD2,UNIPROT:A0A384LHD2
AT1G14345,411.62957991107635,1.091222518540965,0.3182054148664077,3.4293021663352063,6.051354110117447e-4,0.0076776342675357444,Q949S6,UNIPROT:Q949S6
AT1G14410,278.68977788799657,1.0707113291357782,0.23184593501332312,4.618201863553265,3.870796103476737e-6,1.360868206410801e-4,Q9M9S3,UNIPROT:Q9M9S3
AT1G14440,920.1206386857859,1.0424797916276247,0.19755271762996382,5.276970138068638,1.3133727840371955e-7,8.796479854155353e-6,Q9M9S0,UNIPROT:Q9M9S0
AT1G14450,549.4983004040323,1.041106460118923,0.2733348975567264,3.808904276128362,1.395839789094618e-4,0.0024460791832029987,Q9M9R9,UNIPROT:Q9M9R9
AT1G15550,418.2127681384785,1.0894909395457333,0.28142651803397767,3.871315848829125,1.0824942007030883e-4,0.001996158219286716,Q39103,UNIPROT:Q39103
AT1G15580,81.25743082742547,2.7128885138588013,0.3855113784614955,7.037116581838483,1.9625864503370236e-12,6.611572950829397e-10,P33078,UNIPROT:P33078
AT1G17650,654.633419561059,1.0877086665842284,0.1766485432902743,6.157473174272783,7.391475846179277e-10,1.1349183763545065e-7,A0A1P8AS42,UNIPROT:A0A1P8AS42
AT1G17700,155.21837600205995,1.3698370962943183,0.3055026039092371,4.483880264082097,7.329780176843054e-6,2.3170933945591677e-4,Q9FZ63,UNIPROT:Q9FZ63
