genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G11911	440.673219342722	10.0119761182372	0.949210349370031	10.5476895873311	5.20615462203136e-26	7.92856781496763e-24
AT4G21830	54.5341865678737	9.42151335665777	1.7051597501538	5.52529659218615	3.28929465330644e-08	6.40197738622372e-07
AT2G39030	16340.7849308253	9.26045498919185	0.672037713078897	13.7796656481757	3.3783318540395e-43	1.68578759516571e-40
AT4G15200	784.081306835808	9.05463297013167	0.791789224810195	11.4356607622467	2.77416688968198e-30	6.25601308304918e-28
AT1G51780	2067.96768282478	9.03462132654384	1.04613925924385	8.63615550865963	5.81363610558639e-18	4.32848278045453e-16
AT4G10290	800.919982633161	8.85368937306772	0.807422141551376	10.9653784773059	5.60654835006523e-28	1.03535731066205e-25
AT5G26260	191.533911756061	8.77110211414364	1.1631577273021	7.54076760895352	4.67213066842273e-14	2.35646194766706e-12
AT4G37409	473.938042295888	8.6431976829387	0.598358359136461	14.4448515692375	2.70138610106177e-47	1.62450277508209e-44
AT4G37410	1118.89252413899	8.57459514488258	0.625495221993914	13.708490238421	9.03176343998101e-43	4.23643895915749e-40
AT3G11180	45.6991182835732	8.44373454677194	1.16677631794044	7.23680659003823	4.59372507938719e-13	2.1124830252327e-11
AT3G28320	26.436118022506	8.37530591047834	1.78093412881915	4.702760071217	2.56667969561138e-06	3.1184317118958e-05
AT3G55100	38.5053924771077	8.19521086492499	1.48869660865995	5.50495703238143	3.69258318536125e-08	7.09853716772766e-07
AT3G26330	974.822976388174	8.1502272001278	0.63915714124575	12.7515233331237	3.05712363601683e-37	1.08634425205307e-34
AT4G15210	32264.9568180035	8.14122381459048	0.663597169776912	12.2683220866168	1.34001498908363e-34	4.24694209986193e-32
AT5G38130	400.313618323472	8.09763023614416	0.689651664902194	11.7416235590362	7.79750057365187e-32	1.9663954941275e-29
AT5G42800	4585.18531872035	7.94413853065396	0.383485892427911	20.7155952474766	2.50589410886619e-95	8.39581921931981e-92
