"genes","go"
"AT4G21230","GO:0004672"
"AT4G21230","GO:0006468"
"AT4G26850","GO:0080048"
"AT3G08980","GO:0004252"
"AT3G08980","GO:0006465"
"AT3G08980","GO:0006627"
"AT3G08980","GO:0008236"
"AT3G08980","GO:0042720"
"AT4G10070","GO:0003723"
"AT3G58290","GO:0005515"
"AT1G22970","GO:0051726"
"AT1G22970","GO:0051726"
"AT3G46130","GO:0003700"
"AT3G46130","GO:0006355"
"AT3G46130","GO:0043565"
"AT5G56130","GO:0005515"
"AT5G56130","GO:0006406"
"AT1G04300","GO:0005515"
"AT4G01450","GO:0016020"
"AT4G01450","GO:0016021"
"AT4G01450","GO:0022857"
"AT3G11780","GO:0032366"
"AT4G08850","GO:0005515"
"AT4G08850","GO:0004672"
"AT4G08850","GO:0005524"
"AT4G08850","GO:0006468"
"AT3G51110","GO:0006396"
"AT3G51110","GO:0000398"
"AT4G02560","GO:0003677"
"AT4G02560","GO:0003677"
"AT1G47570","GO:0046872"
"AT2G18450","GO:0016491"
"AT3G12040","GO:0003677"
"AT3G12040","GO:0003905"
"AT3G12040","GO:0006284"
"AT5G44740","GO:0003684"
"AT5G44740","GO:0006281"
"AT2G26670","GO:0004392"
"AT2G26670","GO:0006788"
"AT5G23980","GO:0016491"
"AT1G18610","GO:0005515"
"AT1G18610","GO:0005515"
"AT4G32500","GO:0005216"
"AT4G32500","GO:0006811"
"AT4G32500","GO:0016020"
"AT4G32500","GO:0055085"
"AT2G05720","GO:0005515"
"AT1G19750","GO:0005515"
"AT1G19750","GO:0006283"
"AT1G52150","GO:0003677"
"AT1G52150","GO:0008289"
"AT1G52150","GO:0003700"
"AT1G70070","GO:0003676"
"AT1G70070","GO:0005524"
"AT2G46060","GO:0016021"
"AT2G03670","GO:0005524"
"AT2G03670","GO:0016887"
"AT2G21130","GO:0000413"
"AT2G21130","GO:0003755"
"AT5G60370","GO:0045145"
"AT5G40560","GO:0005515"
"AT5G66400","GO:0009415"
"AT3G12203","GO:0004185"
"AT3G12203","GO:0006508"
"AT1G70870","GO:0006952"
"AT1G54360","GO:0006367"
"AT1G54360","GO:0000124"
"AT1G54360","GO:0005669"
"AT1G54360","GO:0016251"
"AT1G54360","GO:0046695"
"AT1G54360","GO:0006352"
"AT5G13550","GO:0008272"
"AT5G13550","GO:0015116"
"AT5G13550","GO:0016021"
"AT5G13550","GO:0008271"
"AT5G13550","GO:0016020"
"AT5G13550","GO:0055085"
"AT3G07740","GO:0008270"
"AT3G07740","GO:0003713"
"AT3G07740","GO:0006357"
"AT3G07740","GO:0035065"
"AT1G60730","GO:0047834"
"AT3G17100","GO:0006355"
"AT3G17100","GO:0006355"
"AT2G27510","GO:0051536"
"AT5G07820","GO:0005516"
"AT5G65670","GO:0005634"
"AT5G65670","GO:0006355"
"AT3G48950","GO:0004650"
"AT3G48950","GO:0005975"
"AT4G20200","GO:0010333"
"AT4G20200","GO:0016102"
"AT4G20200","GO:0016829"
"AT4G20200","GO:0000287"
"AT1G50240","GO:0004672"
"AT1G50240","GO:0005524"
"AT1G50240","GO:0006468"
"AT1G50240","GO:0004672"
"AT1G50240","GO:0005524"
"AT1G50240","GO:0006468"
"AT1G77480","GO:0004190"
"AT1G77480","GO:0006508"
"AT1G21400","GO:0016624"
"AT5G59220","GO:0016791"
"AT2G18510","GO:0003676"
"AT3G22450","GO:0003735"
"AT3G22450","GO:0005840"
"AT3G22450","GO:0006412"
"AT3G22450","GO:0003735"
"AT3G22450","GO:0005840"
"AT3G22450","GO:0006412"
"AT3G44810","GO:0005515"
"AT3G59170","GO:0005515"
"AT1G24200","GO:0006355"
"AT1G24200","GO:0003714"
"AT5G52950","GO:0005634"
"AT5G52950","GO:0006260"
"AT5G52950","GO:0010212"
"AT5G52950","GO:0033314"
"AT1G14190","GO:0016614"
"AT1G14190","GO:0050660"
"AT4G21960","GO:0004601"
"AT4G21960","GO:0042744"
"AT4G21960","GO:0006979"
"AT4G21960","GO:0020037"
"AT4G21280","GO:0005509"
"AT4G21280","GO:0009523"
"AT4G21280","GO:0009654"
"AT4G21280","GO:0015979"
"AT4G21280","GO:0019898"
"AT1G68360","GO:0010090"
"AT5G46280","GO:0003677"
"AT5G46280","GO:0005524"
"AT5G46280","GO:0032508"
"AT5G08780","GO:0000786"
"AT5G08780","GO:0003677"
"AT5G08780","GO:0006334"
"AT1G50200","GO:0003676"
"AT1G50200","GO:0000166"
"AT1G50200","GO:0004813"
"AT1G50200","GO:0005524"
"AT1G50200","GO:0006419"
"AT1G50200","GO:0004812"
"AT1G50200","GO:0043039"
"AT5G09280","GO:0030570"
"AT5G59890","GO:0015629"
"AT5G59890","GO:0030042"
"AT5G59890","GO:0003779"
"AT1G02880","GO:0004788"
"AT1G02880","GO:0005524"
"AT1G02880","GO:0009229"
"AT1G02880","GO:0030975"
"AT4G24860","GO:0005524"
"AT4G24860","GO:0016887"
"AT1G48850","GO:0004107"
"AT1G48850","GO:0009073"
"AT4G36105","GO:0009639"
"AT4G36105","GO:0009959"
"AT5G61880","GO:0005744"
"AT5G61880","GO:0030150"
"AT5G61880","GO:0005744"
"AT5G61880","GO:0030150"
"AT4G33080","GO:0004672"
"AT4G33080","GO:0005524"
"AT4G33080","GO:0006468"
"AT5G01850","GO:0004672"
"AT5G01850","GO:0006468"
"AT5G25090","GO:0009055"
"AT2G19920","GO:0003968"
"AT3G43180","GO:0004842"
"AT3G43180","GO:0016567"
"AT3G43180","GO:0046872"
"AT2G22750","GO:0046983"
"AT3G04630","GO:0000226"
"AT3G04630","GO:0008017"
"AT5G54260","GO:0016787"
"AT5G54260","GO:0004519"
"AT5G54260","GO:0005634"
"AT5G54260","GO:0006302"
"AT5G54260","GO:0030145"
"AT2G30800","GO:0003676"
"AT2G30800","GO:0004386"
"AT2G30800","GO:0005524"
"AT4G35350","GO:0006508"
"AT4G35350","GO:0008234"
"AT2G34090","GO:0043743"
"AT2G46620","GO:0005524"
"AT2G46620","GO:0016887"
"AT1G60380","GO:0003677"
"AT1G60380","GO:0006355"
"AT4G34500","GO:0004672"
"AT4G34500","GO:0006468"
"AT3G20380","GO:0005515"
"AT2G04170","GO:0005515"
"AT5G65158","GO:0005515"
"AT3G01920","GO:0003725"
"AT4G31490","GO:0005198"
"AT4G31490","GO:0006886"
"AT4G31490","GO:0016192"
"AT4G31490","GO:0030126"
"AT4G31490","GO:0030117"
"AT4G31490","GO:0005737"
"AT4G31490","GO:0005198"
"AT4G31490","GO:0006886"
"AT4G31490","GO:0016192"
"AT4G31490","GO:0030126"
"AT4G31490","GO:0030117"
"AT4G31490","GO:0005737"
"AT4G31490","GO:0005198"
"AT4G31490","GO:0006886"
"AT4G31490","GO:0016192"
"AT4G31490","GO:0030126"
"AT4G31490","GO:0030117"
"AT4G31490","GO:0005737"
"AT1G25330","GO:0046983"
"AT1G25330","GO:0006355"
"AT1G51810","GO:0004672"
"AT1G51810","GO:0005524"
"AT1G51810","GO:0006468"
"AT1G51810","GO:0005515"
"AT4G11460","GO:0004672"
"AT4G11460","GO:0006468"
"AT1G73460","GO:0004672"
"AT1G73460","GO:0005524"
"AT1G73460","GO:0006468"
