Q0WV96	AT1G01010
A0A178WKY9	AT1G01020
A0A1P8ARY9	AT1G01020
A0A1P8AS22	AT1G01020
F4HQG4	AT1G01020
Q5MK24	AT1G01020
A0A1P8AT85	AT1G01030
Q9MAN1	AT1G01030
A0A178WCL8	AT1G01040
F4HQG6	AT1G01040
Q9SP32	AT1G01040
Q93V56	AT1G01050
A0A178W696	AT1G01060
F4HQH3	AT1G01060
Q6R0H1	AT1G01060
Q5XEZ0	AT1G01070
A0A178W030	AT1G01080
A0A1P8APK3	AT1G01080
F4HQH8	AT1G01080
O24457	AT1G01090
A8MQK8	AT1G01100
Q8LCW9	AT1G01100
B3H705	AT1G01110
Q9MAM4	AT1G01110
Q9MAM3	AT1G01120
A0A178WH54	AT1G01130
F4HQI8	AT1G01130
Q9MAM1	AT1G01140
A0A1P8AUM7	AT1G01150
A0A1P8AUQ9	AT1G01150
F4HQJ2	AT1G01150
A0A178W5S2	AT1G01160
F4HQJ3	AT1G01160
Q9MAL9	AT1G01160
A0A178WGM0	AT1G01170
A0A178W7N2	AT1G01180
Q0WRD8	AT1G01180
Q9MAL7	AT1G01180
P0DKI9	AT1G01184
A0A384KEP9	AT1G01190
F4HS79	AT1G01190
A0A178W3L5	AT1G01200
A0A178W475	AT1G01200
Q9LNK1	AT1G01200
Q9LNK0	AT1G01210
A0A1P8APH1	AT1G01220
A0A1P8API3	AT1G01220
A0A384LK65	AT1G01220
Q9LNJ9	AT1G01220
Q29PY0	AT1G01225
Q9C5I0	AT1G01230
Q9LNJ8	AT1G01230
A0A178W4W8	AT1G01250
Q1ECI2	AT1G01250
Q9LNJ5	AT1G01260
Q9LNJ4	AT1G01280
Q39056	AT1G01290
Q9LNJ3	AT1G01300
A0A178WAA9	AT1G01305
Q6ID87	AT1G01310
Q9LNJ2	AT1G01310
A0A1P8AR50	AT1G01320
F4HS98	AT1G01320
F4HS99	AT1G01320
P0DKH9	AT1G01335
Q9LNJ0	AT1G01340
Q8GX84	AT1G01350
A0A1P8AVR8	AT1G01355
A0A1P8AVW5	AT1G01355
F4HSA3	AT1G01355
Q84MC7	AT1G01360
A0A178W8H5	AT1G01370
A0A178W975	AT1G01370
Q8RVQ9	AT1G01370
A0A1P8AQ06	AT1G01380
A0A1P8AQ13	AT1G01380
Q9LNI5	AT1G01380
A0A1P8AV09	AT1G01390
Q8W4C2	AT1G01390
Q9LNI3	AT1G01400
Q9LNI2	AT1G01410
A0A1P8AUD8	AT1G01420
Q9LNI1	AT1G01420
Q84JH9	AT1G01430
Q6NQ63	AT1G01440
F4HSB4	AT1G01450
O23706	AT1G01450
B3H6G3	AT1G01453
Q9LMN2	AT1G01453
Q9LMN1	AT1G01460
O03983	AT1G01470
Q06402	AT1G01480
A0A1P8AS52	AT1G01490
O03982	AT1G01490
Q8GUH2	AT1G01500
O23702	AT1G01510
A0A1P8AM82	AT1G01520
A0A1P8AMB7	AT1G01520
A0A384LJW3	AT1G01520
Q6R0H0	AT1G01520
Q9LMM8	AT1G01530
F4HSC9	AT1G01540
Q3EDL4	AT1G01540
Q570G5	AT1G01540
Q9LMM6	AT1G01550
A0A1P8ASZ4	AT1G01560
Q9LMM5	AT1G01560
F4HU33	AT1G01570
Q9LMM4	AT1G01570
A0A1P8AVL6	AT1G01580
P92949	AT1G01580
Q9LMM2	AT1G01590
Q9LMM1	AT1G01600
Q9LMM0	AT1G01610
A8MSF6	AT1G01620
Q08733	AT1G01620
Q9LQ96	AT1G01630
A0A2H1ZE92	AT1G01640
Q9LQ95	AT1G01640
A0A178WKH2	AT1G01650
F4HU44	AT1G01650
Q0WMJ8	AT1G01650
A0A178WBJ7	AT1G01660
A0A1P8AQW1	AT1G01660
P0C6E7	AT1G01660
A0A1P8ASI2	AT1G01670
Q8GXQ7	AT1G01670
Q9LQ92	AT1G01680
A0A178WE16	AT1G01690
A0A1P8AUL3	AT1G01690
A0A384LK19	AT1G01690
Q0WWX5	AT1G01690
A0A178WAP9	AT1G01695
A0A178WL26	AT1G01700
A0A178WNF0	AT1G01700
A0A178WQB5	AT1G01700
A0A1P8ASA3	AT1G01700
A0A1P8ASC5	AT1G01700
A0A1P8ASE8	AT1G01700
Q9LQ89	AT1G01700
A0A178W7C0	AT1G01710
A0A1P8AM80	AT1G01715
Q39013	AT1G01720
Q9LQ84	AT1G01725
Q9LQ83	AT1G01730
A0A178WBE7	AT1G01740
A0A1P8AT62	AT1G01740
F4HU55	AT1G01740
A0A1P8AMT9	AT1G01750
Q9LQ81	AT1G01750
A0A178W929	AT1G01760
A0A384L5T4	AT1G01760
F4HU58	AT1G01760
A0A178WEQ4	AT1G01770
C0Z248	AT1G01770
Q8GZ85	AT1G01770
Q1ECF5	AT1G01780
Q9ZTZ7	AT1G01790
A0A178WIX4	AT1G01800
A8MQD9	AT1G01800
Q9LQ75	AT1G01800
Q9LQ74	AT1G01810
